Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Palm Island (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,535,
"Paroo (S)",31,0,10,14,13,10,6,5,5,6,0,0,5,0,0,0,0,0,7,15,807,928,
"Pormpuraaw (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,289,294,
"Quilpie (S)",14,0,0,3,12,12,8,13,7,8,0,0,0,0,0,0,0,0,0,8,349,436,
"Redland (C)",557,177,229,407,371,645,856,1034,1314,1352,1781,1568,2652,1324,1010,1970,1952,586,305,852,38879,59815,
"Richmond (S)",12,0,0,0,6,12,10,6,3,0,0,0,0,0,0,0,0,0,5,12,409,485,
"Rockhampton (R)",235,59,82,228,201,395,657,861,1138,1070,1102,720,924,353,154,456,410,129,71,359,25322,34941,
"Scenic Rim (R)",133,32,75,129,112,227,264,378,448,436,475,343,496,232,141,347,349,108,69,262,11750,16827,
"Somerset (R)",82,13,34,81,99,178,249,240,327,272,307,198,244,97,64,141,132,37,24,170,7464,10455,
"South Burnett (R)",132,26,78,165,169,296,372,434,346,289,311,118,187,61,38,78,83,30,30,199,11821,15265,
"Southern Downs (R)",142,34,54,147,142,248,378,479,483,358,351,191,226,92,41,106,107,40,35,180,12596,16427,
"Sunshine Coast (R)",1032,295,457,867,687,1168,1719,2062,2830,2662,3397,2741,4312,2019,1327,2800,2819,829,557,1555,94253,130380,
"Tablelands (R)",96,25,31,99,80,150,200,243,277,203,214,139,182,85,47,98,87,51,24,124,9805,12269,
"Toowoomba (R)",558,117,204,516,436,856,1210,1633,2108,2038,2124,1368,1722,644,414,1005,885,259,195,656,49532,68488,
"Torres (S)",3,0,0,0,4,0,3,5,0,4,0,0,3,0,0,3,4,0,3,3,1153,1191,
"Torres Strait Island (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1252,
"Townsville (C)",536,149,191,403,350,816,1124,1556,2258,2300,2701,1937,2697,1077,681,1513,1430,391,288,839,56914,80152,
"Weipa (T)",14,0,3,0,0,3,5,17,17,14,25,19,39,20,28,43,47,10,7,18,1312,1649,
"Western Downs (R)",224,12,35,83,82,189,274,282,286,270,286,159,257,82,73,140,123,41,43,166,12507,15590,
"Whitsunday (R)",112,21,37,62,66,128,229,247,297,273,315,224,361,149,118,267,248,63,50,185,12813,16259,
"Winton (S)",14,0,4,7,6,12,10,19,3,9,4,0,6,0,0,0,4,0,5,9,767,868,
"Woorabinda (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,288,
"Wujal Wujal (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,
"Yarrabah (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,508,
"Migratory - Offshore - Shipping (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,
"Total",16397,4432,5861,12015,10544,19642,27441,35401,46097,45560,54374,40020,62673,27554,19515,41163,44522,14607,10456,23515,1430884,1992670,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
