Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Koorda (S)",5,0,3,9,6,8,6,0,0,4,0,0,0,0,0,0,0,0,0,8,210,245,
"Kulin (S)",10,3,3,5,0,7,3,3,0,0,0,3,0,0,0,0,0,0,0,4,411,466,
"Kwinana (C)",123,39,50,115,97,203,272,353,576,631,827,710,910,460,324,517,383,120,71,221,8295,15307,
"Lake Grace (S)",15,0,5,7,4,6,5,7,14,0,5,0,4,0,0,0,0,0,0,9,670,753,
"Laverton (S)",3,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,345,368,
"Leonora (S)",4,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,668,690,
"Mandurah (C)",307,73,125,214,196,358,417,602,814,925,1098,885,1441,669,405,842,804,251,178,454,29732,40788,
"Manjimup (S)",30,8,12,50,35,68,85,132,125,81,81,50,68,23,14,37,37,22,19,52,4031,5046,
"Meekatharra (S)",0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,448,466,
"Melville (C)",530,123,144,250,193,313,411,591,551,587,564,489,1219,472,517,973,1980,928,790,482,29182,41280,
"Menzies (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,145,
"Merredin (S)",20,0,3,18,8,46,42,44,53,20,19,10,30,4,7,5,9,4,4,10,1280,1647,
"Mingenew (S)",6,0,0,3,0,4,0,3,3,6,0,0,0,0,0,0,0,0,0,3,272,313,
"Moora (S)",16,0,4,16,20,12,20,23,31,11,13,9,17,9,6,8,4,4,6,15,980,1210,
"Morawa (S)",10,0,0,9,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,358,404,
"Mosman Park (T)",54,5,5,10,19,21,26,40,32,33,26,21,69,26,32,46,146,105,175,60,3117,4073,
"Mount Magnet (S)",0,0,6,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,341,372,
"Mount Marshall (S)",13,0,0,4,6,0,0,0,6,0,0,0,4,0,0,0,0,0,0,4,318,352,
"Mukinbudin (S)",4,0,0,8,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,3,271,308,
"Mundaring (S)",189,57,78,146,113,203,256,337,347,359,474,366,713,317,263,583,791,220,126,265,8458,14658,
"Murchison (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,84,
"Murray (S)",65,17,26,52,43,88,104,121,171,147,209,163,286,110,93,190,220,64,51,118,5496,7842,
"Nannup (S)",7,0,3,5,4,5,5,20,13,15,9,9,15,4,3,4,11,0,9,11,672,824,
"Narembeen (S)",14,0,0,5,8,11,8,3,0,3,0,0,3,0,0,0,0,0,0,4,362,419,
"Narrogin (S)",18,6,12,28,27,60,46,66,69,47,37,22,38,14,7,16,17,6,7,24,1752,2310,
"Nedlands (C)",149,29,18,31,30,44,52,78,49,53,56,23,127,38,59,93,295,268,602,119,6143,8353,
"Ngaanyatjarraku (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,578,
"Northam (S)",43,8,15,56,50,82,116,137,148,109,130,79,128,40,30,75,72,21,6,58,3573,5002,
"Northampton (S)",27,0,4,7,7,16,23,25,27,24,28,21,27,6,7,9,16,5,10,12,2310,2613,
"Nungarin (S)",6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,122,130,
"Peppermint Grove (S)",14,0,0,0,0,0,0,10,7,0,0,0,8,8,0,5,10,10,36,10,496,614,
"Perenjori (S)",3,0,3,6,0,7,0,3,5,0,7,0,0,0,3,0,0,0,0,4,225,261,
"Perth (C)",65,17,9,25,19,25,51,74,97,116,144,126,199,91,101,163,256,95,104,56,11581,13415,
"Pingelly (S)",5,0,0,20,7,9,12,11,12,12,7,5,5,0,4,4,3,0,0,4,495,613,
"Plantagenet (S)",36,3,12,31,22,50,55,54,57,45,47,37,34,19,6,27,16,8,4,28,1872,2463,
"Port Hedland (T)",14,0,0,5,7,8,16,15,17,24,17,17,37,17,10,29,104,54,29,22,7223,7662,
"Quairading (S)",9,0,3,3,4,7,7,6,6,3,6,0,3,0,0,0,3,4,0,5,470,539,
"Ravensthorpe (S)",17,0,3,6,3,6,5,14,12,8,9,6,4,0,0,5,5,5,0,6,1113,1228,
"Rockingham (C)",379,134,166,318,296,553,660,924,1349,1496,2012,1875,3010,1477,983,1802,1585,423,226,696,30566,50929,
"Sandstone (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,87,
"Serpentine-Jarrahdale (S)",92,18,21,44,40,108,123,168,237,322,451,489,831,434,318,540,581,185,90,188,4343,9623,
"Shark Bay (S)",0,4,0,0,0,0,7,9,3,0,10,0,3,3,3,0,8,0,0,8,1023,1092,
"South Perth (C)",258,51,48,69,70,112,164,179,220,234,226,189,445,169,171,332,747,404,420,181,15542,20231,
"Stirling (C)",1018,254,252,502,417,764,1001,1432,1648,1771,2096,1608,3084,1297,1177,2216,3648,1591,1249,1018,68557,96610,
"Subiaco (C)",84,24,19,23,28,41,49,73,76,68,87,60,157,55,68,116,296,191,236,63,8071,9866,
"Swan (C)",547,140,167,343,333,605,826,1103,1498,1530,2074,1960,3264,1802,1348,2489,1989,601,353,928,27513,51418,
"Tammin (S)",0,0,0,4,6,3,3,0,0,0,0,0,3,0,6,0,0,0,0,0,177,204,
"Three Springs (S)",10,0,3,0,5,0,4,9,4,0,0,0,0,0,0,0,0,0,0,0,281,316,
"Toodyay (S)",19,7,17,30,26,44,46,51,55,53,61,41,62,35,22,50,50,12,11,41,1629,2370,
"Trayning (S)",0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,217,
"Upper Gascoyne (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,148,
"Victoria Park (T)",130,29,41,80,64,113,147,186,220,250,269,224,520,200,192,388,574,203,111,119,12912,16949,
"Victoria Plains (S)",12,0,3,5,8,0,5,3,4,0,3,3,0,0,0,0,3,0,0,8,410,476,
"Vincent (C)",147,36,27,62,60,88,137,183,240,213,245,164,443,173,200,362,783,377,276,133,12492,16841,
"Wagin (S)",12,3,7,17,15,27,18,27,14,14,16,5,12,5,0,7,0,0,3,11,732,948,
"Wandering (S)",5,0,0,0,3,0,5,0,3,6,7,0,8,5,0,0,5,0,0,0,176,227,
"Wanneroo (C)",699,183,204,433,411,797,990,1406,1924,2058,2870,2694,4515,2607,2051,3949,3316,870,548,1149,36675,70352,
"Waroona (S)",14,7,7,20,16,20,36,39,40,48,47,30,48,26,13,33,46,10,8,26,1527,2058,
"West Arthur (S)",15,0,6,0,0,6,9,3,3,0,0,0,0,0,0,3,0,3,4,4,406,473,
"Westonia (S)",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,117,131,
"Wickepin (S)",12,0,0,8,4,13,8,0,5,6,4,0,0,0,0,0,6,0,0,7,331,397,
"Williams (S)",8,0,0,5,0,10,4,6,5,6,8,4,3,0,3,4,0,0,0,5,368,463,
"Wiluna (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,243,
"Wongan-Ballidu (S)",10,0,0,6,9,17,16,17,22,8,0,6,12,0,0,0,0,0,5,5,627,761,
"Woodanilling (S)",4,0,5,3,3,4,3,6,4,0,4,3,0,0,0,0,0,0,4,0,165,204,
"Wyalkatchem (S)",8,0,0,7,3,7,5,0,0,0,4,0,0,0,0,0,0,0,0,3,282,318,
"Wyndham-East Kimberley (S)",13,0,5,6,10,17,8,19,22,31,25,24,39,20,13,40,60,23,19,28,3753,4149,
"Yalgoo (S)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,102,
"Yilgarn (S)",4,0,3,9,9,9,15,11,4,3,0,0,0,0,0,0,0,0,0,5,614,699,
"York (S)",14,3,10,18,19,24,30,31,32,36,29,22,46,23,5,23,25,3,4,22,1494,1928,
"Migratory - Offshore - Shipping (WA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,154,
"Total",10588,2591,3208,6595,5829,10404,13470,17815,22199,22908,28116,23235,41031,19616,15679,30375,36295,12918,10184,13176,727500,1073719,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
