Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Lismore (C)",29,0,7,0,0,0,9,3,0,0,0,0,0,4,0,3,0,6,0,0,0,103,163,
"Lithgow (C)",15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,61,85,
"Liverpool (C)",3,0,5,0,10,3,27,20,3,0,5,0,6,0,3,4,8,0,7,20,12,848,976,
"Liverpool Plains (A)",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,55,
"Lockhart (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,9,
"Maitland (C)",9,3,0,0,3,0,4,4,0,0,0,0,0,0,0,0,5,0,10,7,5,176,230,
"Mid-Coast (A)",42,0,4,0,3,0,13,8,3,0,0,0,0,0,0,0,0,0,4,0,0,274,359,
"Mid-Western Regional (A)",29,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,62,111,
"Moree Plains (A)",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,87,
"Mosman (A)",5,0,0,0,0,0,4,6,0,0,0,0,4,0,0,0,0,0,0,0,0,57,81,
"Murray River (A)",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,72,
"Murrumbidgee (A)",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,
"Muswellbrook (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,54,69,
"Nambucca (A)",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,52,73,
"Narrabri (A)",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,74,
"Narrandera (A)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,
"Narromine (A)",15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,47,
"Newcastle (C)",4,0,0,0,11,0,8,8,0,0,4,0,5,3,0,6,7,3,4,4,6,395,472,
"North Sydney (A)",3,0,0,0,0,0,7,4,0,0,4,3,12,0,0,0,6,0,0,3,0,154,195,
"Northern Beaches (A)",0,0,10,0,20,3,14,13,6,0,10,4,21,3,6,12,9,7,6,16,6,542,713,
"Oberon (A)",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,
"Orange (C)",0,0,0,0,0,3,6,3,4,0,0,3,3,0,0,0,3,0,3,0,0,105,138,
"Parkes (A)",13,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,60,84,
"Parramatta (C)",0,0,10,0,12,3,8,12,6,0,5,5,6,6,3,3,12,7,15,22,7,828,981,
"Penrith (C)",0,0,12,0,23,0,17,5,12,0,3,0,3,5,3,9,5,3,7,19,11,594,742,
"Port Macquarie-Hastings (A)",9,0,0,0,3,0,10,7,0,0,0,4,0,3,0,0,3,0,0,5,5,175,232,
"Port Stephens (A)",9,0,3,3,10,0,0,6,0,0,0,0,0,3,0,5,0,0,3,0,4,183,235,
"Queanbeyan-Palerang Regional (A)",8,0,0,0,0,0,7,6,0,3,0,0,0,0,0,0,0,0,3,7,0,105,153,
"Randwick (C)",0,0,6,0,6,0,10,6,0,6,6,3,5,0,0,0,9,6,3,3,6,547,625,
"Richmond Valley (A)",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,83,107,
"Rockdale (C)",0,0,0,0,4,0,4,5,7,4,0,0,12,5,0,3,0,0,0,10,7,499,575,
"Ryde (C)",0,0,5,0,3,6,5,14,3,0,5,0,7,4,0,3,11,0,0,5,7,417,490,
"Shellharbour (C)",0,0,3,0,4,0,7,6,0,0,0,0,3,0,0,0,4,0,5,0,4,175,209,
"Shoalhaven (C)",9,0,0,0,7,0,8,9,0,0,0,0,6,5,3,4,3,0,0,4,5,375,435,
"Singleton (A)",8,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,64,91,
"Snowy Monaro Regional (A)",11,0,0,4,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,0,42,71,
"Snowy Valleys (A)",7,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,33,55,
"Strathfield (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,197,220,
"Sutherland Shire (A)",0,0,9,0,9,3,18,19,10,0,8,5,9,0,3,4,8,4,4,12,10,469,608,
"Sydney (C)",3,3,0,0,3,5,9,21,6,4,7,8,37,0,3,7,3,5,11,27,11,943,1122,
"Tamworth Regional (A)",63,0,7,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,152,262,
"Temora (A)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,
"Tenterfield (A)",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,
"The Hills Shire (A)",0,0,5,0,5,0,10,3,0,0,3,7,8,5,0,6,6,3,6,9,9,385,478,
"Tweed (A)",11,0,0,3,3,0,18,6,3,0,0,0,4,3,0,0,0,0,0,5,9,226,300,
"Upper Hunter Shire (A)",22,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,33,63,
"Upper Lachlan Shire (A)",11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,46,
"Uralla (A)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,
"Wagga Wagga (C)",12,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,4,133,188,
"Walcha (A)",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,
"Walgett (A)",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,74,
"Warren (A)",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,
"Warrumbungle Shire (A)",25,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,37,68,
"Waverley (A)",0,0,0,0,5,0,3,0,0,0,0,0,13,0,0,5,7,4,0,9,0,172,225,
"Weddin (A)",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,
"Wentworth (A)",8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,6,0,20,44,
"Western Plains Regional (A)",27,0,3,0,7,0,7,0,4,0,0,0,4,0,0,0,0,0,6,4,4,146,218,
"Willoughby (C)",0,0,0,0,0,0,6,4,0,0,0,0,12,0,0,0,5,0,4,6,0,256,310,
"Wingecarribee (A)",6,0,3,0,5,0,9,9,0,0,0,0,8,3,0,5,0,0,0,3,7,131,201,
"Wollondilly (A)",0,0,0,0,4,0,3,5,3,0,0,0,3,0,0,0,0,0,4,0,9,114,143,
"Wollongong (C)",0,0,4,0,10,0,17,15,3,0,0,0,8,6,0,8,10,0,10,13,0,621,726,
"Woollahra (A)",4,0,0,0,0,0,0,6,4,0,0,0,10,0,0,0,0,0,0,5,5,146,191,
"Yass Valley (A)",12,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,52,
"Unincorporated NSW",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,
"No usual address (NSW)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,82,96,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",1297,18,250,27,444,92,580,545,197,71,108,90,393,198,99,184,340,114,260,538,400,24878,31127,


" Nil income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Albury (C)",5,0,0,0,13,0,11,23,0,4,0,4,4,5,0,3,6,6,0,6,8,2403,2505,
"Armidale Regional (A)",36,0,0,0,9,3,17,12,0,0,0,4,0,3,0,4,3,0,0,4,4,1902,1993,
"Ballina (A)",11,0,6,0,3,0,16,16,4,0,5,0,3,8,5,5,3,3,3,3,13,1838,1932,
"Balranald (A)",4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,125,134,
"Bathurst Regional (A)",10,0,3,0,9,0,10,19,5,4,0,0,8,8,0,3,7,6,6,10,15,2239,2343,
"Bega Valley (A)",15,0,3,0,5,0,14,17,0,0,0,0,4,3,0,0,0,0,0,4,9,1454,1530,
"Bellingen (A)",10,0,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,0,4,0,6,654,693,
"Berrigan (A)",15,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,4,342,382,
"Blacktown (C)",3,3,36,0,42,21,109,121,34,4,17,9,33,20,17,25,41,13,33,58,75,30565,31289,
"Bland (A)",25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,3,266,304,
"Blayney (A)",8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,364,387,
"Blue Mountains (C)",0,0,9,0,14,7,15,30,0,0,7,9,10,4,3,12,11,3,8,18,7,4599,4771,
"Bogan (A)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,140,
"Botany Bay (C)",0,0,4,0,5,4,16,19,6,0,5,6,6,8,4,4,8,4,8,8,8,4191,4308,
"Bourke (A)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,115,
"Brewarrina (A)",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,71,
"Broken Hill (C)",0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,841,867,
"Burwood (A)",0,0,0,0,7,3,7,16,0,0,0,0,3,6,0,5,6,5,3,8,11,5198,5285,
"Byron (A)",10,0,3,0,5,0,17,10,0,0,3,6,0,3,0,5,4,0,0,3,8,1314,1397,
"Cabonne (A)",30,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,3,713,775,
"Camden (A)",9,0,4,0,11,6,26,22,9,0,6,0,10,10,0,13,14,9,7,16,14,5113,5303,
"Campbelltown (C) (NSW)",0,0,24,0,14,5,43,54,10,8,11,4,12,10,6,13,12,9,22,31,33,12938,13263,
"Canada Bay (A)",0,0,8,0,14,0,17,32,10,3,12,5,28,12,9,16,13,5,14,19,16,8005,8232,
"Canterbury-Bankstown (A)",3,0,29,3,59,11,110,119,28,3,18,4,48,28,10,33,54,9,43,65,96,35381,36156,
"Carrathool (A)",9,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,112,130,
"Central Coast (C) (NSW)",12,0,31,3,58,13,86,114,11,11,12,10,44,24,16,32,41,17,38,67,41,19080,19754,
"Central Darling (A)",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,108,
"Cessnock (C)",8,5,3,0,0,3,21,28,4,0,0,0,10,4,4,3,5,0,5,7,8,3141,3251,
"Clarence Valley (A)",28,0,0,0,4,5,6,19,0,0,0,3,4,5,0,0,0,0,3,8,5,2405,2512,
"Cobar (A)",8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,289,315,
"Coffs Harbour (C)",26,0,5,0,13,0,31,34,6,0,4,0,8,8,3,3,8,5,14,3,16,3439,3622,
"Coolamon (A)",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,221,237,
"Coonamble (A)",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,133,160,
