            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Total Income, 2011-16 Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,,,,
11730,Clarence Valley (A)," 23,725 "," 23,530 "," 23,130 "," 23,135 "," 23,361 "," 23,811 ", 48 , 48 , 49 , 49 , 49 , 49 ," 840,000,000 "," 875,000,000 "," 893,000,000 "," 932,000,000 "," 973,000,000 "," 1,050,000,000 "," 29,366 "," 30,490 "," 32,312 "," 33,638 "," 35,017 "," 36,860 "," 35,390 "," 37,169 "," 38,602 "," 40,272 "," 41,650 "," 44,046 ",,,,
11750,Cobar (A)," 2,349 "," 2,378 "," 2,403 "," 2,385 "," 2,416 "," 2,360 ", 41 , 40 , 40 , 41 , 41 , 41 ," 130,000,000 "," 138,000,000 "," 149,000,000 "," 161,000,000 "," 170,000,000 "," 161,000,000 "," 46,352 "," 48,910 "," 53,046 "," 52,439 "," 57,083 "," 56,039 "," 55,435 "," 58,192 "," 62,159 "," 67,304 "," 70,301 "," 68,050 ",,,,
11800,Coffs Harbour (C)," 36,441 "," 36,307 "," 36,722 "," 37,590 "," 38,956 "," 39,869 ", 45 , 46 , 46 , 46 , 46 , 45 ," 1,460,000,000 "," 1,550,000,000 "," 1,650,000,000 "," 1,730,000,000 "," 1,870,000,000 "," 1,920,000,000 "," 32,629 "," 34,414 "," 36,318 "," 37,582 "," 38,683 "," 39,529 "," 40,161 "," 42,583 "," 44,881 "," 46,027 "," 47,881 "," 48,258 ",,,,
12000,Coolamon (A)," 2,225 "," 2,246 "," 2,245 "," 2,259 "," 2,321 "," 2,015 ", 47 , 47 , 47 , 47 , 47 , 46 ," 103,000,000 "," 101,000,000 "," 108,000,000 "," 113,000,000 "," 117,000,000 "," 106,000,000 "," 37,262 "," 37,300 "," 39,290 "," 41,743 "," 42,784 "," 42,838 "," 46,154 "," 44,786 "," 48,036 "," 50,080 "," 50,277 "," 52,600 ",,,,
12150,Coonamble (A)," 1,893 "," 1,896 "," 1,900 "," 1,847 "," 1,844 "," 1,670 ", 46 , 45 , 45 , 46 , 46 , 46 ," 92,477,233 "," 76,567,786 "," 85,757,078 "," 68,744,240 "," 84,871,241 "," 84,039,035 "," 36,762 "," 35,768 "," 37,062 "," 35,741 "," 41,027 "," 43,463 "," 48,852 "," 40,384 "," 45,135 "," 37,219 "," 46,026 "," 50,323 ",,,,
12350,Cowra (A)," 6,137 "," 6,181 "," 6,165 "," 6,231 "," 6,262 "," 6,244 ", 46 , 47 , 47 , 47 , 48 , 48 ," 246,000,000 "," 247,000,000 "," 250,000,000 "," 264,000,000 "," 280,000,000 "," 287,000,000 "," 32,516 "," 33,088 "," 34,415 "," 35,696 "," 37,811 "," 38,659 "," 40,087 "," 40,027 "," 40,499 "," 42,337 "," 44,766 "," 45,920 ",,,,
12380,Cumberland (A)," 92,782 "," 94,521 "," 96,552 "," 99,408 "," 103,809 "," 108,926 ", 37 , 37 , 37 , 37 , 37 , 37 ," 3,920,000,000 "," 4,200,000,000 "," 4,460,000,000 "," 4,680,000,000 "," 4,950,000,000 "," 5,330,000,000 "," 36,433 "," 38,470 "," 39,860 "," 40,273 "," 40,786 "," 40,890 "," 42,265 "," 44,398 "," 46,195 "," 47,052 "," 47,721 "," 48,925 ",,,,
12700,Dungog (A)," 4,497 "," 4,555 "," 4,642 "," 4,681 "," 4,725 "," 4,827 ", 47 , 47 , 48 , 48 , 48 , 48 ," 201,000,000 "," 219,000,000 "," 224,000,000 "," 228,000,000 "," 240,000,000 "," 248,000,000 "," 35,500 "," 37,704 "," 37,177 "," 37,822 "," 39,918 "," 41,152 "," 44,762 "," 48,061 "," 48,232 "," 48,648 "," 50,845 "," 51,296 ",,,,
12730,Edward River (A)," 4,985 "," 5,072 "," 5,085 "," 5,091 "," 5,305 "," 4,521 ", 47 , 47 , 47 , 48 , 47 , 46 ," 202,000,000 "," 204,000,000 "," 221,000,000 "," 233,000,000 "," 261,000,000 "," 207,000,000 "," 33,852 "," 35,483 "," 37,573 "," 39,334 "," 40,870 "," 40,245 "," 40,450 "," 40,245 "," 43,388 "," 45,737 "," 49,165 "," 45,734 ",,,,
12750,Eurobodalla (A)," 18,350 "," 18,443 "," 18,262 "," 18,465 "," 18,969 "," 19,198 ", 51 , 51 , 52 , 52 , 52 , 52 ," 689,000,000 "," 717,000,000 "," 737,000,000 "," 771,000,000 "," 815,000,000 "," 838,000,000 "," 29,880 "," 31,352 "," 32,773 "," 33,788 "," 34,509 "," 35,593 "," 37,544 "," 38,874 "," 40,339 "," 41,755 "," 42,991 "," 43,669 ",,,,
