Australian Bureau of Statistics,,,,,,,,,,
"81550DO001_201617 Australian Industry, 2016-17",,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 25 May 2018,,,,,,,,,,
Table 6 States and territories by industry division,,,,,,,,,,
,Employment at end of June,,,Wages and salaries,,,Sales and service income,,,
,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,
,'000,'000,'000,$m,$m,$m,$m,$m,$m,
Health care and social assistance (private),109,116,114,"4,850","5,288","5,665","8,397","9,825","9,966",
Arts and recreation services,19,20,18,632,668,692,"3,029","2,985","2,872",
Other services,55,57,53,"2,216","2,294","2,257","8,112","7,148","7,008",
Total selected industries,"1,246","1,240","1,188","75,419","75,310","70,500","476,956","443,733","427,130",
TASMANIA,,,,,,,,,,
"Agriculture, forestry and fishing",23,22,22,422,487,549,"2,976","3,464","4,047",
Mining,2,2,2,231,247,184,962,807,881,
Manufacturing,17,18,17,943,994,974,"6,515","6,881","6,467",
"Electricity, gas, water and waste services",3,3,3,360,349,358,"2,482","2,422","2,557",
Construction,15,15,16,675,703,778,"3,610","3,466","3,939",
Wholesale trade,7,7,7,356,366,403,"5,702","5,862","5,607",
Retail trade,26,25,26,745,768,843,"7,058","7,138","7,573",
Accommodation and food services,19,19,19,420,456,458,"1,639","1,744","1,648",
"Transport, postal and warehousing",10,10,11,514,502,548,"2,202","2,262","2,331",
Information media and telecommunications,3,3,3,220,212,214,"1,576","1,532","1,467",
"Rental, hiring and real estate services",6,6,6,197,197,211,"1,168","1,170","1,264",
"Professional, scientific and technical services",9,9,9,510,530,520,"1,371","1,449","1,513",
Administrative and support services,10,10,11,364,427,465,652,755,837,
Public administration and safety (private),1,1,1,40,38,44,82,142,151,
Education and training (private),5,5,5,253,266,241,230,270,260,
Health care and social assistance (private),25,25,27,"1,010","1,059","1,162","1,490","1,657","1,697",
Arts and recreation services,5,4,4,137,142,157,623,638,664,
Other services,10,9,9,349,347,371,940,864,"1,139",
Total selected industries,196,193,198,"7,745","8,090","8,479","41,279","42,524","44,042",
NORTHERN TERRITORY,,,,,,,,,,
"Agriculture, forestry and fishing",4,5,5,104,114,137,917,978,"1,073",
Mining,4,3,3,606,565,528,"5,722","4,820","4,923",
Manufacturing,4,4,3,271,280,222,"4,334","4,025","3,104",
"Electricity, gas, water and waste services",1,1,1,131,133,160,,"1,251","1,254",
Construction,19,20,18,"1,609","1,719","1,714","7,000","6,082","5,847",
Wholesale trade,3,3,3,186,181,190,"3,204","3,320","3,430",
Retail trade,13,13,12,440,455,378,"3,715","3,844","3,405",
Accommodation and food services,12,11,12,361,375,429,"1,423","1,466","1,697",
"Transport, postal and warehousing",7,6,6,402,374,376,"1,680","1,652","1,683",
Information media and telecommunications,1,1,1,62,59,61,366,354,339,
"Rental, hiring and real estate services",4,3,3,141,123,122,979,928,926,
"Professional, scientific and technical services",7,8,8,464,602,817,"1,127","1,273","1,435",
Administrative and support services,6,6,8,357,351,301,623,572,575,
Public administration and safety (private),2,2,2,128,138,115,,250,217,
Education and training (private),4,4,4,189,204,220,232,233,217,
Health care and social assistance (private),9,9,10,400,428,542,542,564,663,
Arts and recreation services,3,3,3,108,123,115,617,602,777,
Other services,6,6,7,254,261,324,896,728,878,
Total selected industries,109,108,112,"6,213","6,485","6,752","34,956","32,942","32,443",
AUSTRALIAN CAPITAL TERRITORY,,,,,,,,,,
"Agriculture, forestry and fishing",1,1,1,15,17,17,125,131,145,
Mining,0,0,0,8,4,6,49,44,48,
Manufacturing,4,4,4,217,215,211,"1,056","1,103","1,130",
"Electricity, gas, water and waste services",1,1,1,131,123,114,,"1,356","1,437",
Construction,14,14,16,729,733,890,"5,686","6,324","7,754",
Wholesale trade,4,4,2,295,327,233,"2,727","2,961","3,472",
Retail trade,20,20,19,623,663,677,"5,954","6,425","6,908",
Accommodation and food services,18,18,18,443,479,487,"1,520","1,611","1,678",
"Transport, postal and warehousing",6,5,5,393,370,457,"1,304","1,228","1,567",
Information media and telecommunications,4,3,3,290,274,281,"1,322","1,337","1,290",
"Rental, hiring and real estate services",6,6,7,278,257,279,"1,942","1,922","2,210",
"Professional, scientific and technical services",26,27,27,"1,749","1,948","2,029","4,648","5,180","5,688",
Administrative and support services,15,19,18,711,977,982,"1,263","1,635","1,630",
Public administration and safety (private),2,2,3,123,119,146,,227,250,
Education and training (private),8,8,8,394,409,429,370,415,431,
Health care and social assistance (private),19,20,20,883,923,915,"1,386","1,561","1,594",
Arts and recreation services,4,4,3,100,95,91,378,346,352,
Other services,11,10,11,483,477,489,"1,181","1,131","1,281",
Total selected industries,164,166,168,"7,863","8,410","8,733","32,483","34,934","38,862",
AUSTRALIA,,,,,,,,,,
"Agriculture, forestry and fishing",482,482,485,"7,363","8,038","8,305","82,570","88,289","95,871",
Mining,178,163,157,"26,425","25,150","23,166","213,356","189,499","214,984",
Manufacturing,854,838,830,"55,329","54,994","54,744","374,024","372,681","363,969",
"Electricity, gas, water and waste services",111,104,104,"11,384","11,190","11,256","116,433","118,523","126,254",
Construction,"1,052","1,053","1,066","60,366","61,525","61,350","373,299","375,095","378,306",
Wholesale trade,543,529,547,"35,438","36,873","38,428","480,414","478,790","502,434",
Retail trade,"1,292","1,300","1,300","41,076","42,632","43,773","387,074","406,604","417,587",
Accommodation and food services,962,979,"1,008","23,602","25,140","25,897","92,796","96,985","100,145",
"Transport, postal and warehousing",569,578,586,"33,339","34,154","34,871","153,964","156,541","160,648",
Information media and telecommunications,168,170,171,"13,903","14,458","14,724","75,623","78,077","79,575",
"Rental, hiring and real estate services",401,405,406,"14,904","15,923","16,051","119,687","125,747","130,513",
"Professional, scientific and technical services",960,981,"1,031","67,325","69,516","73,274","192,165","197,726","210,779",
Administrative and support services,837,851,881,"39,946","41,002","42,304","79,470","82,184","85,578",
Public administration and safety (private),83,79,78,"3,967","4,053","4,044","9,693","9,582","9,817",
Education and training (private),400,410,418,"19,016","20,314","20,999","21,851","25,393","26,386",
Health care and social assistance (private),"1,066","1,097","1,125","46,003","48,614","51,143","85,179","89,557","92,924",
Arts and recreation services,204,204,206,"6,321","6,741","6,951","30,742","32,245","32,440",
Other services,477,483,484,"18,448","19,156","19,555","58,166","57,042","58,666",
Total selected industries,"10,642","10,704","10,882","524,155","539,473","550,834","2,946,507","2,980,559","3,086,876",
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2018,,,,,,,,,,
