Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Jerramungup (S)",32,4,8,17,6,10,7,12,4,8,0,4,0,0,0,0,0,3,0,0,0,0,0,17,681,821,
"Joondalup (C)",250,46,49,133,87,155,120,162,65,156,99,440,253,891,764,1344,515,2094,758,377,183,80,81,219,51023,60348,
"Kalamunda (S)",145,20,26,97,68,106,60,90,58,90,55,232,152,377,254,470,158,620,95,24,17,9,5,96,19469,22786,
"Kalgoorlie/Boulder (C)",119,33,60,201,90,182,211,268,173,394,211,495,161,331,148,226,43,290,112,24,11,7,9,151,9098,13047,
"Karratha (C)",504,707,134,193,154,224,172,188,108,218,112,282,57,230,72,167,35,327,198,138,124,68,129,473,4808,9815,
"Katanning (S)",34,16,14,41,52,58,45,45,36,40,20,21,9,10,0,0,0,0,0,0,0,0,4,23,1349,1835,
"Kellerberrin (S)",19,7,11,23,12,12,10,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,451,566,
"Kent (S)",28,4,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,243,304,
"Kojonup (S)",49,6,8,23,12,28,7,20,12,11,0,7,4,7,0,0,0,0,0,0,0,0,0,11,758,970,
"Kondinin (S)",28,13,0,21,3,18,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,331,445,
"Koorda (S)",14,10,7,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,245,
"Kulin (S)",17,9,0,6,3,19,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,392,466,
"Kwinana (C)",67,27,35,126,89,112,77,141,73,262,211,451,271,515,307,343,85,140,26,8,4,6,0,89,11845,15307,
"Lake Grace (S)",49,9,3,14,9,19,11,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,592,753,
"Laverton (S)",23,44,18,11,14,9,7,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,10,228,368,
"Leonora (S)",113,15,8,14,9,10,0,17,3,8,3,10,0,5,0,0,0,0,0,0,0,0,0,32,443,690,
"Mandurah (C)",214,42,72,262,138,326,196,383,285,632,562,1174,644,1045,595,703,196,501,102,37,6,0,27,199,32443,40788,
"Manjimup (S)",95,18,18,79,85,124,58,94,42,93,47,91,14,18,6,11,0,3,0,4,0,0,4,51,4070,5046,
"Meekatharra (S)",28,12,20,22,20,13,5,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,17,320,466,
"Melville (C)",338,59,73,354,142,196,95,193,81,183,128,388,276,606,436,824,307,1630,739,310,168,86,163,227,33263,41280,
"Menzies (S)",9,19,5,11,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,82,145,
"Merredin (S)",41,14,21,39,28,37,36,32,21,51,18,20,3,16,8,4,0,0,0,0,0,0,0,29,1227,1647,
"Mingenew (S)",23,0,0,6,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,248,313,
"Moora (S)",47,4,11,36,12,19,14,25,13,28,9,14,3,3,0,0,0,0,0,0,0,0,0,13,949,1210,
"Morawa (S)",26,0,0,10,4,0,13,9,11,11,5,3,0,0,0,0,0,0,0,3,0,0,0,10,290,404,
"Mosman Park (T)",38,11,13,75,25,37,18,42,53,98,60,113,39,79,47,55,23,79,73,35,50,19,66,19,2912,4073,
"Mount Magnet (S)",15,10,0,3,9,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,307,372,
"Mount Marshall (S)",35,12,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,279,352,
"Mukinbudin (S)",28,5,8,3,8,5,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,239,308,
"Mundaring (S)",92,15,8,62,35,58,31,47,22,68,41,133,73,154,105,156,61,249,80,28,3,4,4,67,13063,14658,
"Murchison (S)",14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,84,
"Murray (S)",71,19,0,31,22,60,43,73,39,106,91,161,74,186,74,77,23,55,25,5,0,7,3,41,6562,7842,
"Nannup (S)",13,0,0,11,9,25,14,15,3,5,6,4,8,3,4,0,0,0,0,0,0,0,0,9,702,824,
"Narembeen (S)",20,4,4,15,13,0,4,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,334,419,
"Narrogin (S)",37,8,10,41,8,41,45,104,54,77,37,45,12,10,9,10,0,7,0,0,0,0,0,35,1732,2310,
"Nedlands (C)",74,10,24,62,16,33,11,19,26,39,8,43,18,39,30,79,33,216,180,113,122,78,229,60,6770,8353,
"Ngaanyatjarraku (S)",61,195,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,219,578,
"Northam (S)",54,16,24,85,37,74,53,110,54,113,79,112,27,47,36,29,8,33,5,0,0,0,4,41,3959,5002,
"Northampton (S)",59,10,6,16,20,36,24,44,27,45,22,27,3,17,0,8,0,11,3,6,0,0,11,30,2186,2613,
"Nungarin (S)",10,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,130,
"Peppermint Grove (S)",8,0,0,0,0,0,0,0,5,11,3,10,0,5,4,7,0,12,4,10,5,5,32,3,492,614,
"Perenjori (S)",18,3,0,4,0,7,5,5,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,3,204,261,
"Perth (C)",115,44,33,201,55,107,45,80,68,164,129,201,155,331,300,555,273,1328,681,306,179,76,149,200,7656,13415,
"Pingelly (S)",26,0,8,12,8,15,8,14,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,491,613,
"Plantagenet (S)",74,13,4,20,20,50,48,86,40,43,10,8,6,4,3,6,0,0,0,0,0,0,5,16,2015,2463,
"Port Hedland (T)",259,444,73,458,80,113,95,152,84,184,76,159,47,143,35,144,28,243,134,83,50,22,87,347,4117,7662,
"Quairading (S)",30,13,15,7,5,13,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,539,
"Ravensthorpe (S)",35,8,0,28,8,10,9,43,13,46,16,21,3,8,0,0,0,6,0,0,0,0,0,17,962,1228,
"Rockingham (C)",240,50,66,271,131,291,141,339,292,743,524,1242,790,1714,1105,1420,424,852,130,32,19,8,37,291,39783,50929,
"Sandstone (S)",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,87,
"Serpentine-Jarrahdale (S)",83,5,4,12,5,29,7,29,3,33,23,73,38,152,119,197,78,160,38,10,4,3,9,38,8466,9623,
"Shark Bay (S)",46,7,0,21,3,19,14,27,12,14,11,10,0,4,0,3,5,3,3,6,6,0,12,29,827,1092,
"South Perth (C)",224,62,72,243,96,185,81,125,55,199,186,525,335,565,408,576,208,943,411,198,128,66,91,181,14055,20231,
"Stirling (C)",706,272,294,1288,496,789,422,712,419,1156,1044,2735,1545,3000,1861,2714,817,3285,1263,663,304,151,180,763,69743,96610,
"Subiaco (C)",94,24,42,173,41,74,43,84,61,167,133,231,144,191,148,248,97,600,423,233,120,71,108,72,6240,9866,
"Swan (C)",324,97,105,435,190,310,184,302,137,345,299,870,588,1437,884,1197,382,1155,220,71,29,20,30,308,41499,51418,
"Tammin (S)",12,3,5,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,204,
"Three Springs (S)",24,0,6,10,3,10,0,15,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,230,316,
"Toodyay (S)",30,0,0,4,14,6,6,22,3,19,19,27,13,29,0,18,3,5,0,0,0,0,3,9,2133,2370,
"Trayning (S)",15,3,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,178,217,
"Upper Gascoyne (S)",18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,101,148,
"Victoria Park (T)",128,64,71,269,171,185,96,212,192,325,226,507,245,520,394,621,245,922,318,120,51,22,30,197,10812,16949,
"Victoria Plains (S)",39,5,7,22,3,4,3,8,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,14,359,476,
"Vincent (C)",112,35,58,162,69,100,67,140,100,238,195,318,144,386,264,520,210,1340,610,209,83,38,45,106,11289,16841,
"Wagin (S)",22,7,3,11,17,30,12,24,7,15,0,4,0,0,0,0,0,0,0,0,0,0,0,15,768,948,
"Wandering (S)",19,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,190,227,
"Wanneroo (C)",346,97,82,385,171,312,203,297,144,325,315,1255,815,1988,1270,2009,692,2231,525,121,47,26,42,355,56334,70352,
"Waroona (S)",34,0,4,16,12,10,9,39,17,33,22,34,5,32,5,15,0,8,0,0,0,0,0,13,1750,2058,
