Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Lockhart (A)",40,14,11,14,9,34,20,24,11,10,5,5,4,3,0,0,0,0,0,0,0,0,0,9,1219,1423,
"Maitland (C)",125,86,75,407,147,371,288,381,272,548,456,1035,656,945,723,803,182,330,56,11,4,0,9,216,22516,30635,
"Mid-Coast (A)",406,77,80,404,271,674,564,923,624,1058,776,1043,487,648,306,285,86,206,22,16,9,7,32,311,38227,47544,
"Mid-Western Regional (A)",193,35,17,69,46,177,109,234,113,237,178,315,123,201,78,129,28,79,15,5,6,0,9,95,9039,11531,
"Moree Plains (A)",235,85,70,176,88,280,177,173,65,124,61,85,20,47,19,25,6,45,6,0,0,0,8,130,4271,6191,
"Mosman (A)",96,14,5,27,7,24,14,30,12,21,12,36,24,90,115,220,151,779,621,353,251,174,636,103,9418,13245,
"Murray River (A)",138,55,30,65,64,74,61,95,59,81,44,61,42,42,17,28,15,28,3,0,4,0,7,42,4856,5907,
"Murrumbidgee (A)",100,15,17,42,45,98,43,47,11,22,5,7,0,3,0,0,0,0,4,0,0,0,0,26,1424,1903,
"Muswellbrook (A)",104,23,29,60,68,245,140,232,166,365,245,296,68,87,15,24,3,21,3,0,0,0,3,84,5007,7293,
"Nambucca (A)",86,30,19,172,86,171,113,209,109,231,147,231,87,131,46,61,17,45,14,4,9,3,8,85,7410,9518,
"Narrabri (A)",174,60,34,108,89,171,90,146,43,124,44,121,31,99,34,54,12,25,4,0,0,0,3,88,4467,6008,
"Narrandera (A)",48,25,17,48,45,90,85,72,32,48,5,11,6,5,0,0,0,0,0,0,0,0,4,31,2234,2805,
"Narromine (A)",79,20,28,65,33,73,40,77,58,63,36,38,0,15,0,5,0,0,0,3,0,0,0,21,2225,2878,
"Newcastle (C)",371,326,260,1543,397,796,521,952,597,1027,846,1812,1296,2327,1552,1765,710,2546,710,266,134,57,95,618,47487,69019,
"North Sydney (A)",288,55,35,259,45,93,40,96,68,87,67,168,151,329,363,773,483,3175,3140,2083,1243,780,1383,368,21262,36849,
"Northern Beaches (A)",605,115,153,523,185,210,145,239,155,223,137,354,179,464,417,872,583,4630,3726,2617,1920,1323,2612,651,78586,101626,
"Oberon (A)",43,13,15,24,22,32,13,57,29,73,20,34,15,11,4,3,0,3,0,0,0,0,0,21,2164,2612,
"Orange (C)",98,60,59,259,115,277,249,458,301,562,382,580,268,420,229,221,84,127,27,5,7,0,5,166,12479,17453,
"Parkes (A)",90,40,42,161,96,194,102,198,100,162,79,129,39,37,15,4,0,3,3,0,0,0,3,71,5204,6780,
"Parramatta (C)",569,278,245,1224,328,619,349,562,366,580,344,874,595,1588,1601,3423,2121,8965,4106,1248,507,217,169,904,53950,85723,
"Penrith (C)",339,148,129,713,221,473,291,526,353,861,852,1415,935,2482,1800,2474,908,2782,764,169,61,23,28,584,51776,71111,
"Port Macquarie-Hastings (A)",245,80,74,430,129,296,270,481,349,647,523,807,488,816,575,623,304,719,195,44,18,8,18,240,28323,36686,
"Port Stephens (A)",154,47,51,307,119,204,184,367,326,705,435,768,432,711,362,545,150,543,128,45,12,10,20,187,26336,33142,
"Queanbeyan-Palerang Regional (A)",168,37,39,178,84,266,279,491,322,496,243,536,290,467,253,416,193,545,228,79,31,9,14,161,18208,24037,
"Randwick (C)",471,242,201,1213,283,420,271,407,213,326,180,382,240,451,387,913,470,4465,4827,2941,1536,893,1561,723,34691,58707,
"Richmond Valley (A)",103,39,20,105,78,226,177,273,179,404,257,305,80,110,24,35,6,33,8,7,4,0,5,91,7751,10319,
"Rockdale (C)",367,67,44,317,92,155,100,204,113,206,144,370,232,631,598,1423,810,3669,2607,937,293,104,158,446,29246,43315,
"Ryde (C)",361,98,93,494,149,290,166,272,168,252,150,400,343,865,766,1357,865,3799,2263,1291,488,227,260,520,30304,46242,
"Shellharbour (C)",133,59,54,439,150,302,182,308,187,302,213,504,299,592,447,592,228,818,274,41,7,0,7,180,20120,26456,
"Shoalhaven (C)",356,87,111,395,189,547,446,707,475,1133,856,1221,667,789,412,465,139,274,55,36,17,3,30,331,44785,54518,
"Singleton (A)",94,32,32,116,45,123,101,150,108,221,138,331,107,207,103,109,22,103,14,9,0,0,4,87,7108,9355,
"Snowy Monaro Regional (A)",192,37,42,101,77,189,109,231,122,238,111,117,40,78,35,80,15,41,33,34,20,37,191,103,9807,12077,
"Snowy Valleys (A)",101,59,38,109,78,186,162,181,84,105,66,75,21,21,10,8,4,0,3,0,0,4,8,57,5591,6969,
"Strathfield (A)",134,39,32,184,64,85,49,123,50,67,33,112,51,177,175,393,306,1642,868,311,169,83,85,194,9046,14472,
"Sutherland Shire (A)",414,113,107,639,159,294,148,315,172,341,206,487,323,719,689,1646,945,3522,2105,1253,555,246,320,521,68286,84526,
"Sydney (C)",890,579,463,2715,533,799,496,833,473,651,808,1550,854,1383,1006,1775,1050,7438,8895,7595,4912,2674,4576,1736,55346,110036,
"Tamworth Regional (A)",313,87,88,298,179,444,392,569,433,696,514,838,442,483,250,232,51,190,26,4,5,3,15,270,19304,26131,
"Temora (A)",61,30,15,53,47,58,60,67,48,50,12,20,0,3,3,0,0,0,4,0,0,0,3,20,2277,2825,
"Tenterfield (A)",82,13,20,49,54,69,73,101,53,51,15,22,0,3,0,0,0,0,0,0,0,0,3,24,3071,3713,
"The Hills Shire (A)",261,20,10,50,35,68,35,75,48,116,44,139,65,128,82,263,148,1872,2267,1294,515,261,246,238,43559,51834,
"Tweed (A)",300,51,55,422,127,370,235,463,284,549,467,971,617,1019,703,688,271,1157,336,144,60,23,33,341,33118,42793,
"Upper Hunter Shire (A)",197,22,21,79,35,139,64,166,108,204,82,135,36,47,16,30,8,26,8,0,4,0,8,83,5027,6548,
"Upper Lachlan Shire (A)",118,14,15,30,21,35,16,62,27,57,27,43,7,9,0,5,0,6,0,3,0,0,0,24,3793,4311,
"Uralla (A)",72,20,8,32,16,56,45,42,27,48,31,20,10,8,5,6,0,6,4,0,0,0,0,25,2254,2739,
"Wagga Wagga (C)",170,100,105,397,191,509,529,573,469,831,690,952,427,507,286,245,93,242,40,15,9,0,13,222,18559,26183,
"Walcha (A)",72,8,8,34,22,31,27,41,9,16,5,4,0,0,0,0,0,0,0,0,0,0,0,29,1300,1603,
"Walgett (A)",152,138,33,79,58,124,114,114,32,21,10,7,0,4,0,3,0,0,0,4,0,0,4,70,2765,3715,
