Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Mount Alexander (S)",15,67,81,208,317,813,495,741,631,719,569,423,356,570,288,167,116,46,42,36,36,5,515,231,1811,9307,
"Moyne (S)",35,63,64,128,191,436,316,496,470,530,504,364,392,552,313,165,116,52,60,30,47,19,455,225,2045,8072,
"Murrindindi (S)",27,68,53,156,240,495,302,508,407,476,419,300,288,451,262,107,93,43,29,16,30,6,399,208,2175,7560,
"Nillumbik (S)",34,151,114,217,262,657,530,806,887,1224,1210,1115,1155,2394,1883,1417,1095,744,686,618,369,64,1885,339,1897,21755,
"Northern Grampians (S)",17,48,54,148,206,575,295,490,452,425,385,236,218,346,173,101,49,31,31,12,10,0,301,258,1273,6116,
"Port Phillip (C)",115,755,349,952,1305,1909,1431,1936,2289,3080,3020,2835,2644,5458,2737,2002,3479,1095,1269,1369,1654,110,3121,1135,11831,57869,
"Pyrenees (S)",19,40,36,84,141,327,164,316,224,271,191,146,135,148,86,49,26,8,8,6,5,0,210,113,811,3579,
"Queenscliffe (B)",7,7,19,22,35,87,78,91,109,123,88,63,63,93,62,40,41,8,24,5,7,0,85,46,1576,2807,
"South Gippsland (S)",49,120,116,318,425,1104,628,1052,936,1041,863,582,599,862,487,238,179,78,73,42,57,6,756,421,4896,15911,
"Southern Grampians (S)",27,48,50,181,249,622,399,608,562,593,505,400,322,474,263,155,83,32,46,36,30,5,464,252,1582,8003,
"Stonnington (C)",123,1191,371,772,981,1647,1321,1723,2070,2708,2696,2557,2315,4861,2476,1902,3375,1285,1466,1713,2049,265,3447,1083,9762,54176,
"Strathbogie (S)",28,61,47,137,165,466,275,422,345,368,309,232,214,293,166,78,57,22,36,21,16,10,304,214,1406,5681,
"Surf Coast (S)",14,96,69,163,211,512,409,695,614,885,756,613,621,1173,775,469,433,193,187,162,139,10,960,276,7823,18264,
"Swan Hill (RC)",32,77,63,169,283,666,393,723,571,711,610,413,410,604,311,157,128,45,49,30,40,12,522,419,1766,9204,
"Towong (S)",14,22,22,58,105,251,129,230,197,222,196,120,130,161,105,53,43,8,13,7,18,4,163,91,737,3114,
"Wangaratta (RC)",33,95,76,274,431,1023,629,1033,990,1091,866,625,563,965,531,255,194,75,58,60,47,6,742,452,1961,13073,
"Warrnambool (C)",36,101,96,333,475,1029,752,1107,1033,1131,1005,776,738,1210,726,359,281,124,101,83,68,10,806,427,2391,15183,
"Wellington (S)",61,171,172,436,626,1471,873,1502,1296,1495,1190,877,878,1353,726,401,387,169,185,109,90,18,1284,587,5874,22242,
"West Wimmera (S)",11,15,14,52,51,165,85,183,142,160,131,76,69,111,60,34,20,10,11,6,5,3,129,65,624,2238,
"Whitehorse (C)",185,1727,607,1239,1469,3381,2522,3490,3614,4492,3871,3156,3110,5950,4066,2826,2488,1510,1335,1249,859,90,4282,1329,7042,65881,
"Whittlesea (C)",144,955,445,1024,1323,3519,2377,4776,4454,5626,5470,4575,4336,7767,4655,2499,1592,820,562,489,249,36,4825,1477,7002,71013,
"Wodonga (C)",20,101,86,324,474,1052,755,1172,1113,1302,1232,935,862,1570,902,471,263,112,115,70,51,9,1013,433,2085,16517,
"Wyndham (C)",145,860,387,1003,1110,2582,2317,3733,4501,5774,5734,4983,4631,9011,5375,3246,2306,1119,940,736,437,52,4960,1382,7986,75310,
"Yarra (C)",76,527,326,1004,1053,1676,1111,1456,1640,2089,2056,2009,1849,4153,2447,2011,2678,1074,1121,1287,1282,101,2993,808,7201,44033,
"Yarra Ranges (S)",120,425,333,841,1167,2955,2192,3449,3480,4353,4031,3420,3286,6330,4011,2184,1508,875,694,521,384,65,4197,1408,6743,58971,
"Yarriambiack (S)",15,35,33,83,131,363,161,293,220,252,202,130,131,179,84,46,23,5,17,5,11,4,164,131,844,3565,
"Unincorporated Vic",0,12,6,4,13,15,19,15,22,28,32,21,21,51,34,19,38,21,22,31,35,21,25,162,818,1507,
