Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Tamworth Regional (A)",56,184,136,497,744,1828,1239,1982,1742,2011,1705,1261,1237,2077,1135,654,488,213,190,119,130,23,1660,772,4033,26131,
"Temora (A)",3,19,12,51,106,258,135,263,182,222,177,131,132,185,79,60,47,10,15,8,10,0,147,107,459,2825,
"Tenterfield (A)",18,36,53,111,157,402,179,350,232,242,195,101,120,138,59,22,25,8,12,8,6,0,201,141,897,3713,
"The Hills Shire (A)",72,493,247,413,475,1326,1052,1796,1866,2638,2533,2249,2399,5560,4253,3579,3329,2194,2225,2265,1829,329,4254,687,3770,51834,
"Tweed (A)",88,380,283,823,1356,3502,2320,3736,2979,3369,2813,1989,1804,2875,1637,900,645,323,258,198,158,17,2554,1478,6300,42793,
"Upper Hunter Shire (A)",20,51,49,122,170,446,236,463,375,423,391,268,297,518,297,194,135,62,77,37,42,4,371,204,1296,6548,
"Upper Lachlan Shire (A)",13,38,21,81,100,261,154,254,237,249,205,177,163,252,151,106,77,27,37,15,24,4,220,106,1338,4311,
"Uralla (A)",9,21,17,62,83,237,131,234,199,196,186,127,138,195,96,55,45,10,17,13,6,0,175,73,426,2739,
"Wagga Wagga (C)",41,167,158,492,673,1472,1075,1710,1653,1927,1835,1378,1419,2422,1454,876,595,251,264,187,175,17,1674,693,3562,26183,
"Walcha (A)",10,14,20,34,51,104,70,115,95,110,94,57,81,83,35,29,24,5,13,0,16,4,92,63,387,1603,
"Walgett (A)",31,32,46,123,162,308,146,254,237,237,164,108,85,152,73,36,34,16,9,6,11,4,182,183,1091,3715,
"Warren (A)",0,11,10,38,38,83,40,94,83,88,74,47,61,95,45,22,15,4,7,7,14,0,97,53,309,1335,
"Warrumbungle Shire (A)",11,40,49,98,183,444,216,412,318,321,259,144,141,247,105,52,47,19,20,5,20,3,284,202,1156,4791,
"Waverley (A)",59,295,143,352,443,865,650,860,1028,1314,1295,1190,1196,2594,1569,1287,2295,924,1107,1272,1612,166,2388,674,5991,31561,
"Weddin (A)",3,10,15,46,75,179,86,172,126,141,112,67,50,84,50,29,19,11,12,4,12,0,85,62,412,1872,
"Wentworth (A)",14,24,34,65,97,222,145,264,223,221,211,103,131,198,102,70,53,13,13,16,16,8,212,126,730,3295,
"Western Plains Regional (A)",54,128,116,395,601,1332,839,1435,1291,1557,1375,1057,1040,1706,1051,658,421,188,186,130,103,18,1473,668,3374,21194,
"Willoughby (C)",69,670,210,357,430,851,668,891,1005,1380,1354,1235,1243,2816,1590,1286,2141,1057,1236,1364,1714,182,2261,533,3479,30015,
"Wingecarribee (A)",57,185,148,308,522,1283,862,1354,1299,1507,1331,1047,984,1774,1008,643,609,280,297,235,212,25,1489,527,3704,21681,
"Wollondilly (A)",20,119,60,174,264,743,414,907,791,1019,938,865,924,1940,1375,894,691,447,344,313,193,39,1325,382,1605,16780,
"Wollongong (C)",162,930,610,1853,2812,5808,3361,5781,4734,5739,5018,4042,4003,7359,4897,3198,2443,1347,1171,1008,657,89,5449,2133,9467,84057,
"Woollahra (A)",57,291,123,202,292,500,513,576,760,1043,963,867,890,2052,1039,947,2396,848,964,1316,2040,274,1949,543,4836,26285,
"Yass Valley (A)",8,28,33,72,111,269,189,290,289,414,370,318,279,634,452,314,283,164,185,169,144,16,450,130,934,6525,
"Unincorporated NSW",5,5,4,9,11,14,25,37,28,48,29,20,18,41,23,7,13,7,6,3,5,0,40,13,214,613,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,
"Total",6742,37029,19211,52877,75637,168389,109125,181379,164688,200365,180530,147337,142457,270778,168708,115228,110260,54940,54071,52469,48158,6408,201054,72477,426669,3066981,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
