Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Leonora (S)",0,5,4,15,13,14,14,18,24,27,22,25,26,57,14,23,25,0,7,6,0,0,37,21,303,690,
"Mandurah (C)",90,430,267,688,1035,2632,1659,2907,2108,2503,1986,1511,1452,2653,1565,937,946,511,428,313,192,27,3085,909,9950,40788,
"Manjimup (S)",11,44,33,101,165,281,173,323,291,316,277,201,195,323,173,87,80,16,29,16,19,12,320,133,1437,5046,
"Meekatharra (S)",0,0,3,6,5,21,11,18,23,17,22,22,19,30,8,13,3,5,3,3,0,0,17,25,196,466,
"Melville (C)",70,518,293,672,828,1958,1325,1877,1813,2403,2018,1753,1726,3568,2425,1821,2131,1306,1308,1211,973,153,3252,736,5144,41280,
"Menzies (S)",0,3,0,6,3,4,7,6,3,12,5,4,9,9,5,4,6,3,0,0,0,0,10,13,29,145,
"Merredin (S)",5,24,12,13,46,104,57,79,79,100,86,70,75,150,67,46,40,14,16,8,13,0,118,44,371,1647,
"Mingenew (S)",0,0,0,4,4,15,6,22,18,28,21,16,10,20,10,3,5,0,5,0,5,0,26,21,64,313,
"Moora (S)",0,3,7,25,32,55,46,60,42,87,71,60,65,108,56,28,24,12,3,3,4,0,73,30,293,1210,
"Morawa (S)",0,4,5,11,13,22,14,25,18,30,19,18,15,26,15,10,9,0,0,0,3,0,20,10,120,404,
"Mosman Park (T)",14,57,29,73,97,196,156,159,151,203,151,141,149,252,159,120,220,122,163,143,204,25,297,78,723,4073,
"Mount Magnet (S)",0,3,0,3,9,15,20,18,5,19,13,11,12,23,10,7,3,0,0,0,0,0,6,13,163,372,
"Mount Marshall (S)",0,0,5,4,6,28,14,10,13,25,22,8,13,19,8,3,10,5,3,0,3,0,18,11,128,352,
"Mukinbudin (S)",0,0,4,6,7,14,11,19,13,20,9,19,10,27,18,7,6,0,9,0,4,0,14,11,93,308,
"Mundaring (S)",18,151,97,211,266,725,472,830,705,959,790,695,720,1484,983,606,565,339,308,220,145,32,1383,275,1694,14658,
"Murchison (S)",0,0,0,0,0,3,8,0,4,5,8,0,6,3,0,3,0,0,0,0,0,0,3,9,27,84,
"Murray (S)",17,81,43,153,154,514,294,557,391,470,377,282,277,584,340,205,185,99,95,66,35,3,671,196,1741,7842,
"Nannup (S)",0,7,11,16,18,59,29,64,44,49,39,28,24,37,25,15,11,0,3,0,3,0,41,22,268,824,
"Narembeen (S)",3,4,0,4,11,15,13,27,35,42,16,12,18,27,17,8,8,4,7,0,3,3,29,12,110,419,
"Narrogin (S)",0,16,14,39,73,141,76,166,132,166,132,103,110,187,88,55,50,25,20,12,12,0,146,81,449,2310,
"Nedlands (C)",21,116,50,98,116,261,179,251,235,324,315,243,266,559,345,298,628,402,392,500,614,111,761,122,1145,8353,
"Ngaanyatjarraku (S)",0,0,3,12,4,20,21,28,31,32,25,23,20,36,7,4,7,4,4,0,0,0,49,118,130,578,
"Northam (S)",5,44,37,109,143,342,187,363,266,311,274,216,211,364,219,135,106,38,39,24,23,3,357,127,1052,5002,
"Northampton (S)",9,34,20,35,73,154,93,222,141,152,150,78,66,126,57,33,27,18,24,10,20,0,124,202,745,2613,
"Nungarin (S)",0,0,0,5,7,8,7,7,6,10,4,4,4,8,0,0,0,0,0,0,0,0,13,4,32,130,
"Peppermint Grove (S)",0,8,0,0,8,10,16,14,12,17,20,22,17,30,23,16,53,25,28,33,62,22,63,15,98,614,
"Perenjori (S)",3,4,0,3,4,11,7,5,15,19,23,11,5,17,8,5,9,0,3,0,5,0,20,11,65,261,
"Perth (C)",28,327,104,314,253,336,259,322,415,590,562,559,568,1209,474,341,879,191,242,210,207,10,691,343,3994,13415,
"Pingelly (S)",4,12,9,17,21,43,21,48,41,34,25,21,26,25,22,11,12,3,0,3,3,0,49,21,150,613,
"Plantagenet (S)",8,18,17,52,72,213,116,185,141,186,150,90,98,137,94,31,25,15,26,14,10,0,167,61,538,2463,
"Port Hedland (T)",9,30,25,95,80,91,60,114,122,196,186,234,275,658,305,310,556,209,219,240,166,34,382,240,2827,7662,
"Quairading (S)",4,11,8,16,16,41,21,49,31,33,26,24,21,18,10,12,7,0,8,0,3,0,34,10,133,539,
"Ravensthorpe (S)",7,3,9,19,25,61,36,50,40,49,47,26,33,68,32,10,27,13,6,7,8,0,56,27,579,1228,
"Rockingham (C)",92,532,244,764,1006,2407,1773,2770,2439,3103,2833,2596,2501,5060,2993,1879,1588,818,708,536,275,40,4943,934,8085,50929,
"Sandstone (S)",0,0,4,0,0,3,0,3,5,0,5,3,4,3,3,0,0,0,0,0,0,0,3,0,39,87,
"Serpentine-Jarrahdale (S)",25,87,42,79,113,232,204,385,414,602,635,604,623,1210,737,438,352,169,164,132,91,23,929,163,1157,9623,
"Shark Bay (S)",4,9,13,22,34,70,40,109,66,94,78,29,43,69,33,22,18,8,13,3,5,0,44,78,177,1092,
"South Perth (C)",56,336,134,378,389,828,659,773,877,1145,997,833,830,1676,932,757,1043,557,569,579,526,64,1319,336,3624,20231,
"Stirling (C)",204,1045,632,1644,2402,5011,3394,4860,4824,6232,5547,4644,4385,8603,4997,3741,3840,2031,2047,1907,1559,200,6600,1829,14426,96610,
"Subiaco (C)",22,233,96,195,244,400,302,324,345,508,429,408,389,835,421,295,659,252,260,306,314,28,572,202,1837,9866,
"Swan (C)",120,479,296,748,939,2123,1562,2539,2625,3496,3450,3023,2956,5752,3416,2095,1701,799,647,524,298,42,4318,885,6565,51418,
"Tammin (S)",0,0,0,0,9,13,4,8,18,7,9,10,6,12,10,3,0,0,0,3,3,0,12,8,67,204,
"Three Springs (S)",4,5,8,6,4,19,8,16,18,23,17,21,10,14,8,8,4,0,0,0,0,0,18,10,89,316,
