Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Mount Isa (C)",13,69,36,122,124,230,170,271,253,355,374,328,396,978,571,475,399,173,215,157,78,14,500,331,1968,8602,
"Murweh (S)",4,25,14,47,81,177,84,148,145,147,126,72,97,166,94,57,33,6,19,3,17,5,132,124,507,2316,
"Napranum (S)",0,0,6,22,9,28,25,27,26,25,21,10,6,16,8,4,0,0,0,4,5,0,7,0,27,274,
"Noosa (S)",51,239,154,468,602,1584,1132,1913,1690,2000,1707,1298,1137,1759,1014,618,511,233,222,196,200,19,1725,706,5752,26926,
"North Burnett (R)",36,40,53,113,180,479,249,476,365,380,310,175,193,294,129,68,62,28,26,8,24,4,285,349,1342,5668,
"Northern Peninsula Area (R)",0,5,7,24,39,42,62,78,74,86,98,49,37,88,46,16,28,5,7,5,6,4,44,47,95,991,
"Palm Island (S)",0,0,5,29,8,38,26,33,59,45,48,34,24,52,21,16,4,3,6,4,0,0,28,10,39,535,
"Paroo (S)",5,18,9,33,42,89,47,79,69,65,53,19,32,52,26,11,12,7,6,0,5,0,57,29,163,928,
"Pormpuraaw (S)",0,0,6,25,13,22,17,27,18,20,12,19,15,16,11,3,3,0,6,0,0,0,8,13,46,294,
"Quilpie (S)",4,8,4,10,12,22,16,44,40,26,33,12,22,36,11,12,9,0,0,0,3,0,29,9,61,436,
"Redland (C)",97,465,321,853,1251,3395,2256,3905,3334,4107,3672,3049,3125,5995,4057,2559,1937,1067,938,788,496,93,3960,1206,6893,59815,
"Richmond (S)",0,5,8,3,12,25,16,40,28,41,29,23,14,26,15,10,8,0,3,3,3,0,36,23,118,485,
"Rockhampton (R)",59,275,225,646,925,2325,1439,2411,2122,2429,2146,1748,1653,2879,1709,975,696,305,298,232,177,25,2440,924,5868,34941,
"Scenic Rim (R)",49,119,111,243,368,1156,765,1344,1104,1261,1167,867,813,1357,713,495,342,150,131,88,88,9,1131,427,2527,16827,
"Somerset (R)",34,98,89,203,268,833,421,923,754,856,679,524,473,753,384,201,125,63,56,41,38,4,686,239,1712,10455,
"South Burnett (R)",46,126,110,348,480,1470,730,1612,1139,1109,988,623,515,850,447,236,200,70,61,43,40,9,824,518,2678,15265,
"Southern Downs (R)",52,128,147,369,478,1406,845,1622,1177,1338,1151,705,702,985,474,233,168,54,61,27,43,11,932,525,2794,16427,
"Sunshine Coast (R)",260,1070,721,2025,2940,7980,5812,9702,8627,10225,9102,6687,6252,10860,6483,3764,2895,1344,1310,1070,768,113,8614,2926,18844,130380,
"Tablelands (R)",33,114,117,288,391,1033,557,1094,846,972,699,448,436,698,401,209,144,77,81,39,41,6,796,450,2300,12269,
"Toowoomba (R)",155,483,422,1057,1601,4493,3051,5142,4589,5290,4632,3650,3399,5956,3522,2045,1470,664,637,448,385,62,4180,1516,9632,68488,
"Torres (S)",0,6,7,15,19,25,24,45,49,47,66,56,56,116,74,47,41,17,28,8,10,4,131,132,165,1191,
"Torres Strait Island (R)",7,7,12,60,52,77,82,77,115,93,77,60,44,76,30,13,10,3,3,3,0,0,88,53,224,1252,
"Townsville (C)",125,731,451,1294,1742,3953,2973,4636,4695,5572,5335,4377,4013,7327,4713,2747,1971,853,819,587,429,57,6179,1757,12817,80152,
"Weipa (T)",0,11,4,4,6,14,10,24,28,38,68,78,103,229,145,130,93,46,61,31,31,0,107,41,357,1649,
