"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",,,,,,,,,,,,,,,,,,mean,mean,mean,mean,mean,,,,,,102%,,,,,,,,,,,,,,,
Notes,,,,,,,,,,Adjusted Count (to make it all numeric),,,85%,15%,"792,777,873,465",," 1,232 ",9100,27600,58500,130000,230000,total,total,total,total,total,"806,815,476,512",diff,,,pro-rata per person rates,,,,,new total,,,,,,
State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total,,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Taxable income or loss3 $ (from 6B),1239, Multiplier ,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Sum,for goal seek,1232,,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Sum,
ACT,2911,307,403,"1,162",956,72,na,"2,900",,307,403,"1,162",956,72,"205,731,797", 0.922716 , 0.922716 ,8396.7156,25466.9616,53978.886,119953.08,212224.68,"2,577,792","10,263,186","62,723,466","114,675,144","15,280,177","205,731,990",-193,0.922716,"if range(""R24"")=1 then Range(""AD24"").GoalSeek goal:=0, changingcell:=Range(""R24"")",8396.708735,25466.93889,53978.83576,119952.967,212224.4815,"2,577,790","10,263,176","62,723,407","114,675,036","15,280,163","205,731,796",-1
ACT,2912,613,702,"1,426","1,006",68,na,"3,815",,613,702,"1,426","1,006",68,"231,045,037", 0.905971 , 0.905971 ,8244.3361,25004.7996,52999.3035,117776.23,208373.33,"5,053,778","17,553,369","75,577,007","118,482,887","14,169,386","231,044,800",237,0.905971,"if range(""R25"")=1 then Range(""AD25"").GoalSeek goal:=0, changingcell:=Range(""R25"")",8244.344509,25004.82479,52999.35801,117776.3504,208373.5373,"5,053,783","17,553,387","75,577,085","118,483,009","14,169,401","231,045,039",2
ACT,2913,"2,965","3,709","8,537","6,157",582,na,"21,950",,"2,965","3,709","8,537","6,157",582,"1,438,808,651", 0.920000 , 0.920000 ,8372,25392,53820,119600,211600,"24,822,980","94,178,928","459,461,340","736,377,200","123,151,200","1,438,203,248","605,403",0.92,"if range(""R26"")=1 then Range(""AD26"").GoalSeek goal:=0, changingcell:=Range(""R26"")",8375.524143,25402.68861,53842.65521,119650.3449,211689.0717,"24,833,429","94,218,572","459,654,747","736,687,174","123,203,040","1,438,808,651",0
ACT,2914,"1,930","2,270","5,483","4,662",416,na,"14,761",,"1,930","2,270","5,483","4,662",416,"1,010,235,141", 0.915948 , 0.915948 ,8335.1268,25280.1648,53582.958,119073.24,210668.04,"16,086,795","57,385,974","293,795,359","555,119,445","87,637,905","1,010,236,146","-1,005",0.915948,"if range(""R27"")=1 then Range(""AD27"").GoalSeek goal:=0, changingcell:=Range(""R27"")",8335.118651,25280.13961,53582.90475,119073.1216,210667.8313,"16,086,779","57,385,917","293,795,067","555,118,893","87,637,818","1,010,235,142",1
ACT,ACT other,77,123,295,164,26,na,685,,77,123,295,164,26,"46,243,384", 1.000000 , 1.000000 ,9100,27600,58500,130000,230000,"700,700","3,394,800","17,257,500","21,320,000","5,980,000","48,883,000","-2,639,616",1,"if range(""R28"")=1 then Range(""AD28"").GoalSeek goal:=0, changingcell:=Range(""R28"")",8608.612286,26109.63726,55341.07898,122980.1755,217580.3105,"662,863","3,211,485","16,325,618","20,168,749","5,657,088","46,243,383",-1
NSW,2000,"8,701","6,202","4,996","2,903","1,405",na,"24,207",,"8,701","6,202","4,996","2,903","1,405","1,660,776,352", 1.335683 , 1.335683 ,12154.7153,36864.8508,78137.4555,173638.79,307207.09,"105,758,178","228,635,805","390,374,728","504,073,407","431,625,961","1,660,775,286","1,066",1.335683,"if range(""R29"")=1 then Range(""AD29"").GoalSeek goal:=0, changingcell:=Range(""R29"")",12154.72312,36864.87452,78137.50572,173638.9013,307207.2869,"105,758,246","228,635,952","390,374,979","504,073,731","431,626,238","1,660,776,353",1
NSW,2006,16,16,17,22,8,na,79,,16,16,17,22,8,"6,479,444", 1.000000 , 1.000000 ,9100,27600,58500,130000,230000,"145,600","441,600","994,500","2,860,000","1,840,000","6,511,700","-32,256",1,"if range(""R30"")=1 then Range(""AD30"").GoalSeek goal:=0, changingcell:=Range(""R30"")",9054.922739,27463.28215,58210.21761,129356.0391,228860.6846,"144,879","439,413","989,574","2,845,833","1,830,885","6,479,445",1
NSW,2007,"1,577","1,157","1,297",739,109,na,"4,879",,"1,577","1,157","1,297",739,109,"229,505,857", 1.000000 , 1.000000 ,9100,27600,58500,130000,230000,"14,350,700","31,933,200","75,874,500","96,070,000","25,070,000","243,528,400","-14,022,543",1,"if range(""R31"")=1 then Range(""AD31"").GoalSeek goal:=0, changingcell:=Range(""R31"")",8576.015359,26010.77186,55131.52731,122514.5051,216756.4321,"13,524,376","30,094,463","71,505,591","90,538,219","23,626,451","229,505,856",-1
NSW,2008,"1,519","1,296","1,922","1,113",175,na,"6,025",,"1,519","1,296","1,922","1,113",175,"495,028,663", 1.425775 , 1.425775 ,12974.5525,39351.39,83407.8375,185350.75,327928.25,"19,708,345","50,999,401","160,309,864","206,295,385","57,387,444","495,028,367",296,1.425775,"if range(""R32"")=1 then Range(""AD32"").GoalSeek goal:=0, changingcell:=Range(""R32"")",12974.5601,39351.41319,83407.88754,185350.8611,327928.4475,"19,708,357","50,999,431","160,309,960","206,295,508","57,387,478","495,028,662",-1
NSW,2009,"2,045","1,729","2,813","2,343",833,na,"9,763",,"2,045","1,729","2,813","2,343",833,"824,732,021", 1.000000 , 1.000000 ,9100,27600,58500,130000,230000,"18,609,500","47,720,400","164,560,500","304,590,000","191,590,000","727,300,400","97,431,621",1,"if range(""R33"")=1 then Range(""AD33"").GoalSeek goal:=0, changingcell:=Range(""R33"")",10319.06677,31297.38933,66336.85782,147415.2396,260811.5778,"21,102,492","54,113,186","186,605,581","345,393,906","217,256,044","824,732,021",0
