,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
34880,Mareeba (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,876",-,106,24,274,886,"1,429",408,170,52,190,"1,802","1,435",-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2011,"183,171",39,"8,650,971,586","41,543","47,229",80.7,"25,780",46,"454,997,940","9,266","17,649",6.5,"127,009",45,"559,818,462",205,"4,408",10.2,"7,868",58,"169,937,278","17,726","21,599",2,"204,457",41,"9,671,744,359","40,346","47,305",4.74,1.77,0.37,0.16,0.438,6.3,18.2,28.9,24.4,26.1,27.4,22.1,"10,618",235.8,"1,936","22,207","36,752",-,-,-,"3,047","14,286","9,023","7,134",-,"3,605","2,195",-,-,-,-,-,-,-,-,-,747
35010,Moreton Bay (R),2012,"189,842",39,"9,528,617,808","43,389","50,192",81.1,"25,461",46,"472,457,731","9,877","18,556",6.2,"132,875",45,"604,041,738",191,"4,546",10,"8,027",58,"183,684,308","18,121","22,883",2,"208,725",42,"10,579,392,341","42,631","50,686",4.58,1.78,0.39,0.17,0.436,6.3,18.4,29.2,24.1,26.3,27.1,22.4,"8,504",178.7,"1,554","21,008","38,220",100,"4,512","1,581","3,479","14,643","9,575","7,301",-,"2,734","2,164","34,675","28,737",-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2013,"195,882",39,"10,192,420,212","44,736","52,033",81.1,"24,982",46,"457,092,821","9,977","18,297",6,"134,516",46,"649,009,010",167,"4,825",10.1,"8,277",58,"199,756,672","18,312","24,134",2,"211,676",42,"11,212,616,739","44,287","52,971",4.36,1.78,0.41,0.18,0.434,6.2,18.4,29.2,23.9,26.7,27.2,22.3,"10,306",191.0,"1,382","18,532","40,434",104,"4,318","1,541","3,900","14,789","11,975","6,281",-,"2,479","2,885","34,310","29,178",-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2014,"200,910",39,"10,751,807,617","45,872","53,516",81.1,"25,162",46,"477,124,275","10,112","18,962",6,"137,838",46,"718,553,707",147,"5,213",10.2,"8,463",58,"210,659,907","19,025","24,892",2.1,"216,295",42,"11,796,167,766","45,503","54,537",4.39,1.78,0.4,0.18,0.437,6.3,18.6,29.5,24.1,26.3,27.1,22.5,"11,764",253.1,"2,516","21,517","42,214",106,"4,224","1,478","4,545","15,383","13,031","6,642",-,"2,755","2,935","34,189","29,561",-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2015,"210,047",39,"11,465,116,399","47,030","54,584",80.6,"25,822",46,"488,426,483","9,965","18,915",6,"144,871",45,"765,072,010",126,"5,281",10.6,"8,855",58,"238,733,163","19,829","26,960",2.1,"223,609",42,"12,391,378,589","46,504","55,415",4.36,1.77,0.41,0.18,0.436,6.3,18.6,29.4,24,26.4,27.4,22.2,"12,735",387.3,"3,233","30,410","44,583",99,"4,049","1,431","4,819","15,287","14,241","6,697",-,"2,742","3,033","33,969","29,578",-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2016,"212,792",39,"11,871,597,545","48,322","55,790",80.4,"26,353",46,"521,837,357","10,468","19,802",6.1,"147,965",45,"773,211,536",106,"5,226",10.7,"9,082",58,"233,946,677","19,813","25,759",2.2,"228,254",42,"12,827,130,551","47,407","56,197",4.44,1.77,0.4,0.17,0.434,6.2,18.2,29,23.9,26.4,27.4,22.3,"12,283",325.8,"2,619","26,526","46,649",98,"3,901","1,356","5,049","14,976","14,023","6,498",-,"2,735","2,669","33,720","27,769",29.3,25.8,22.7,4,1.8,7.8,0.4,834
35010,Moreton Bay (R),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"47,195",105,"3,629","1,303","5,305","14,739","14,240","6,508","1,871","2,436","2,803","33,356","26,622",-,-,-,-,-,-,-,-
35250,Mornington (S),2011,355,40,"11,227,935","24,735","31,628",96.3,-,-,-,-,-,-,65,43,"-163,392",11,"-2,514",0.7,-,-,-,-,-,-,299,41,"11,410,758","32,857","38,163",5.58,1.78,0.32,0.16,0.432,-,14.8,27.3,31.1,30.4,24.7,13.9,-,-,-,-,72,-,-,-,-,53,162,61,-,-,21,-,-,-,-,-,-,-,-,-,385
35250,Mornington (S),2012,352,37,"10,652,008","20,149","30,261",96.8,-,-,-,-,-,-,76,41,"-79,356",8,"-1,044",0.4,-,-,-,-,-,-,248,39,"10,270,924","34,158","41,415",4.33,1.92,0.44,0.29,0.399,-,14.4,26.1,28.8,34,21.2,16,-,-,-,-,46,-,-,-,-,56,140,65,-,-,-,186,166,-,-,-,-,-,-,-,-
35250,Mornington (S),2013,493,39,"14,870,591","20,820","30,163",97.3,-,-,-,-,-,-,88,42,"-7,557",10,-86,0.7,-,-,-,-,-,-,401,40,"14,541,834","26,419","36,264",4.59,2.11,0.46,0.29,0.444,-,17,29.9,39.1,34.4,13.1,13.4,-,-,-,-,48,-,-,-,-,45,183,55,-,-,-,193,179,-,-,-,-,-,-,-,-
35250,Mornington (S),2014,364,39,"12,571,999","22,011","34,538",96.9,-,-,-,-,-,-,76,41,"26,495",142,349,0.7,-,-,-,-,-,-,288,40,"12,290,605","30,876","42,676",6.66,2.5,0.38,0.19,0.464,-,16.3,29,36.8,28.9,15.1,19.2,-,-,-,-,47,-,-,-,-,39,164,48,-,-,-,183,171,-,-,-,-,-,-,-,-
35250,Mornington (S),2015,342,37,"13,031,209","26,844","38,103",96.4,-,-,-,-,-,-,81,37,"23,462",15,290,0.4,-,-,-,-,-,-,275,40,"12,833,097","36,662","46,666",5.32,2.01,0.38,0.23,0.431,-,14.6,26.9,30.9,29.1,22.5,17.5,-,-,-,-,48,-,-,-,-,36,151,44,-,-,-,177,158,-,-,-,-,-,-,-,-
35250,Mornington (S),2016,215,37,"8,385,960","28,835","39,004",98.3,-,-,-,-,-,-,57,34,"5,857",26,103,-,-,-,-,-,-,-,174,37,"7,945,202","32,981","45,662",-,-,-,-,0.412,-,13.6,25.7,31.3,33.5,18.2,17,-,-,-,-,49,-,-,-,7,35,176,51,-,-,10,188,173,44.5,16,10,2.5,0.5,8.7,1,432
35250,Mornington (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,8,34,203,48,29,-,40,173,153,-,-,-,-,-,-,-,-
35300,Mount Isa (C),2011,"12,015",35,"746,950,152","54,920","62,168",92.9,974,44,"17,624,591","7,150","18,095",3.1,-,-,-,-,-,-,147,55,"3,218,366","11,984","21,894",0.4,"11,733",36,"745,029,884","56,037","63,499",4.28,1.76,0.41,0.21,0.399,5.1,15,25.1,16.7,19.8,22.8,40.6,505,8.1,"1,525","16,074",817,-,-,-,83,507,747,476,-,35,165,-,-,-,-,-,-,-,-,-,"1,243"
35300,Mount Isa (C),2012,"12,808",35,"847,017,895","57,455","66,132",93.2,926,45,"19,894,893","8,859","21,485",3.2,"7,215",39,"3,627,441",47,503,3.1,146,56,"2,710,014","10,013","18,562",0.3,"12,260",36,"842,987,425","59,959","68,759",4.03,1.74,0.43,0.22,0.398,5.7,15.6,25.7,15.9,19.5,23.5,41.2,341,12.9,"1,588","37,701",847,-,35,8,88,496,733,471,-,23,128,"1,446","1,521",-,-,-,-,-,-,-,-
35300,Mount Isa (C),2013,"12,881",35,"911,252,223","62,471","70,744",93.3,931,44,"16,190,551","7,650","17,390",3,"7,020",39,"6,364,405",49,907,3,140,55,"3,115,110","9,962","22,251",0.4,"12,256",36,"896,193,061","64,775","73,123",3.96,1.71,0.43,0.23,0.389,5.5,15,24.9,15.1,19.1,22.2,43.6,428,10.1,"1,507","23,560",851,-,30,7,96,454,804,422,-,-,185,"1,418","1,500",-,-,-,-,-,-,-,-
35300,Mount Isa (C),2014,"12,409",35,"899,140,214","63,849","72,459",92.7,970,43,"10,816,785","6,560","11,151",3.1,"7,035",39,"8,307,879",36,"1,181",3.6,163,56,"3,002,084","10,839","18,418",0.5,"11,759",36,"870,570,144","65,406","74,034",4.11,1.77,0.43,0.23,0.395,4.7,14.4,24.4,15.6,19.5,21.8,43.2,428,7.7,"2,050","17,987",848,-,30,7,94,464,808,411,-,-,174,"1,306","1,373",-,-,-,-,-,-,-,-
35300,Mount Isa (C),2015,"12,433",36,"936,274,689","66,307","75,306",92.2,990,42,"15,127,787","7,272","15,281",3.3,"7,217",39,"6,126,815",29,849,3.8,186,55,"5,359,178","11,067","28,813",0.6,"11,660",37,"893,494,167","67,176","76,629",4.16,1.79,0.43,0.22,0.393,4.8,14.4,24.5,15.5,19.1,22.6,42.7,422,9.1,"2,762","21,508",875,-,28,7,91,420,981,451,-,-,200,"1,315","1,385",-,-,-,-,-,-,-,-
35300,Mount Isa (C),2016,"11,042",36,"838,525,830","68,029","75,940",91.8,947,40,"16,513,767","7,839","17,438",3.5,"6,538",39,"4,048,268",23,619,3.8,202,52,"5,007,520","11,161","24,790",0.7,"10,379",37,"801,664,411","68,995","77,239",4.13,1.76,0.43,0.22,0.389,4.6,14.2,24.1,15.3,19.4,22.4,42.8,360,6.5,"1,611","18,129",910,-,26,6,94,395,908,442,-,13,152,"1,251","1,129",17.5,17.5,25.8,13.5,3.5,7.4,0.4,"1,312"
35300,Mount Isa (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,888,-,23,6,103,392,848,446,100,15,157,"1,241","1,104",-,-,-,-,-,-,-,-
35600,Murweh (S),2011,"2,231",38,"89,287,603","36,116","40,021",75.9,829,48,"18,567,227","9,921","22,397",15.9,"1,680",46,"6,016,276",284,"3,581",7.1,42,55,"547,857","6,473","13,044",0.8,"2,562",42,"112,210,711","38,155","43,798",4.71,1.74,0.37,0.16,0.468,6.8,18.7,29.4,25.8,28.2,27,18.9,147,5.6,"2,772","38,161",477,-,-,-,39,154,97,70,-,25,25,-,-,-,-,-,-,-,-,-,659
35600,Murweh (S),2012,"2,257",38,"94,902,368","37,914","42,048",76.2,808,49,"16,750,600","7,761","20,731",14.2,"1,725",46,"8,009,906",298,"4,643",8.2,40,55,"826,961","10,521","20,674",0.7,"2,564",42,"117,940,378","39,480","45,999",5.18,1.8,0.35,0.15,0.478,6.6,19.2,30.2,26.8,27.8,26.2,19.2,104,10.5,"1,042","101,246",476,-,17,21,34,164,102,69,-,-,23,424,298,-,-,-,-,-,-,-,-
35600,Murweh (S),2013,"2,310",38,"103,148,512","39,512","44,653",76.1,816,49,"6,739,642","4,396","8,259",13,"1,771",45,"8,593,426",209,"4,852",9.5,37,56,"708,251","12,925","19,142",0.6,"2,589",42,"115,812,747","41,270","44,733",4.88,1.79,0.37,0.12,0.509,5.7,17.7,28.9,27.4,27.4,26.2,19,147,2.6,"1,631","17,969",482,-,18,14,29,154,111,69,-,-,30,400,306,-,-,-,-,-,-,-,-
35600,Murweh (S),2014,"2,298",39,"104,145,071","40,000","45,320",76.9,804,50,"1,818,065","2,809","2,261",12,"1,680",46,"8,424,134",215,"5,014",10.4,37,57,"974,196","14,501","26,330",0.5,"2,564",42,"111,359,564","40,959","43,432",5.57,1.8,0.32,0.08,0.57,6.1,19.3,31.1,29.9,26.3,25.5,18.3,140,3.0,"3,422","21,449",477,-,15,10,38,150,136,87,-,-,34,396,312,-,-,-,-,-,-,-,-
35600,Murweh (S),2015,"2,341",39,"105,316,772","41,141","44,988",75.4,812,50,"13,403,066","6,518","16,506",15.3,"1,743",46,"6,547,873",146,"3,757",8,40,56,"935,304","16,320","23,383",0.6,"2,561",42,"119,911,524","42,544","46,822",4.59,1.73,0.38,0.14,0.488,6.1,17.8,29.1,28.8,26.2,27.1,17.9,122,2.0,"3,427","16,025",488,-,16,10,37,160,154,83,-,-,34,385,315,-,-,-,-,-,-,-,-
35600,Murweh (S),2016,"2,223",39,"104,883,295","41,767","47,181",74,789,50,"22,480,045","9,063","28,492",16.1,"1,723",46,"6,829,320",117,"3,964",8.8,51,57,"1,174,037","10,000","23,020",1,"2,454",43,"128,539,480","44,138","52,380",4.46,1.77,0.4,0.17,0.472,7.2,20,31,25.8,28.4,27.3,18.5,127,5.8,"2,468","46,012",499,-,16,8,50,153,183,86,-,-,33,378,288,28.8,26.7,22.1,3,1.6,5.4,0.6,733
35600,Murweh (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,488,-,15,5,48,148,170,85,17,-,19,354,274,-,-,-,-,-,-,-,-
35670,Napranum (S),2011,248,38,"6,343,720","15,765","25,580",99.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176,39,"5,985,540","25,155","34,009",-,-,-,-,0.446,-,15.2,27,38.5,29.1,19.6,12.8,-,-,-,-,-,-,-,-,-,24,123,32,-,-,24,-,-,-,-,-,-,-,-,-,354
35670,Napranum (S),2012,277,37,"7,951,732","18,715","28,707",100,-,-,-,-,-,-,37,41,730,7,20,-,-,-,-,-,-,-,211,37,"7,787,254","26,605","36,906",8.21,2.41,0.29,0.19,0.464,-,14.6,27.4,36.5,32.7,14.4,16.3,-,-,-,-,32,-,-,-,-,63,121,40,-,-,-,129,125,-,-,-,-,-,-,-,-
35670,Napranum (S),2013,260,39,"7,083,951","12,652","27,246",98.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,39,"6,682,625","29,918","42,029",-,-,-,-,0.458,-,13.9,26.7,37.3,24.7,19,19,-,-,-,-,32,-,-,-,-,55,143,33,-,-,29,129,123,-,-,-,-,-,-,-,-
35670,Napranum (S),2014,238,36,"7,783,793","22,964","32,705",98.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,37,"7,844,735","37,449","41,727",-,-,-,-,0.437,-,14.2,26.2,36.2,28.1,20,15.7,-,-,-,-,32,-,-,-,26,57,146,35,-,-,35,144,140,-,-,-,-,-,-,-,-
35670,Napranum (S),2015,272,38,"8,776,267","19,377","32,266",96.1,-,-,-,-,-,-,42,44,"1,761",8,42,-,-,-,-,-,-,-,203,39,"8,333,948","32,900","41,054",7.46,2.1,0.28,0.08,0.474,-,15.3,27.5,40,23.9,17.6,18.5,-,-,-,-,34,-,-,-,27,55,160,42,-,-,37,144,140,-,-,-,-,-,-,-,-
35670,Napranum (S),2016,217,38,"8,265,177","30,390","38,088",96.6,-,-,-,-,-,-,26,37,"-3,242",5,-125,1.1,-,-,-,-,-,-,177,39,"8,058,236","40,339","45,527",-,-,-,-,0.427,-,14,26,32,27.4,26.9,13.7,-,-,-,-,34,-,-,-,25,52,107,39,-,-,17,134,123,57.3,14.9,9,2.3,1.7,12.9,-,401
35670,Napranum (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,25,53,136,40,34,-,28,133,117,-,-,-,-,-,-,-,-
35740,Noosa (S),2011,"21,228",42,"839,992,084","31,991","39,570",63.2,"6,081",49,"102,400,859","8,368","16,839",11.1,"19,872",51,"221,450,606",742,"11,144",21.4,"1,392",59,"32,349,932","17,132","23,240",2.6,"28,591",48,"1,191,538,167","31,374","41,675",6.12,1.95,0.32,0.12,0.526,10.3,24.7,36.2,33,29.9,20.8,16.3,"2,512",94.2,"3,272","37,508","6,245",-,-,-,396,"1,781","1,462",825,-,662,273,-,-,-,-,-,-,-,-,-,638
35740,Noosa (S),2012,"21,639",43,"926,887,690","33,750","42,834",63.4,"5,956",50,"101,918,454","9,056","17,112",10.9,"20,418",52,"242,316,831",721,"11,868",21.3,"1,451",59,"36,033,555","17,654","24,834",2.7,"28,742",48,"1,298,066,112","33,549","45,163",6.07,2,0.33,0.13,0.524,9.7,24.3,36.1,33.1,29.1,20.2,17.6,"2,227",86.9,"3,039","39,007","6,508",23,674,228,441,"1,834","1,521",811,-,520,260,"4,157","3,274",-,-,-,-,-,-,-,-
35740,Noosa (S),2013,"22,342",43,"1,032,003,452","35,275","46,191",63.2,"5,947",50,"109,859,728","9,705","18,473",11,"20,825",52,"264,016,926",710,"12,678",21.3,"1,422",59,"39,204,795","18,878","27,570",2.7,"29,159",49,"1,433,432,342","35,553","49,159",5.68,2.04,0.36,0.14,0.519,10,24.6,36.5,32.2,28.9,20.2,18.7,"2,434",86.9,"2,728","35,695","6,821",22,645,217,488,"1,867","1,760",634,-,445,338,"4,026","3,269",-,-,-,-,-,-,-,-
35740,Noosa (S),2014,"23,430",43,"1,122,302,340","36,000","47,900",64.3,"5,895",51,"107,308,918","10,457","18,203",10.5,"21,553",52,"288,226,033",663,"13,373",21,"1,375",59,"35,897,056","19,939","26,107",2.6,"30,114",49,"1,534,164,111","36,356","50,945",5.6,2.03,0.36,0.14,0.526,11,25.6,37.4,31.8,29.3,20.4,18.4,"2,734",88.6,"3,950","32,407","7,063",19,590,188,546,"1,934","1,819",622,-,470,325,"3,868","3,126",-,-,-,-,-,-,-,-
35740,Noosa (S),2015,"24,490",43,"1,190,370,730","37,111","48,606",63.4,"6,061",51,"120,575,787","11,137","19,894",10.9,"22,708",52,"293,811,424",573,"12,939",21.4,"1,453",59,"41,037,322","19,911","28,243",2.7,"31,253",49,"1,606,204,431","37,000","51,394",5.64,2.05,0.36,0.15,0.517,9.7,24.6,36.6,31.7,29.7,20,18.6,"2,994",129.0,"5,291","43,071","7,519",20,556,172,607,"1,885","2,066",533,-,280,251,"3,732","3,057",-,-,-,-,-,-,-,-
35740,Noosa (S),2016,"24,701",43,"1,212,554,520","38,000","49,089",62.8,"6,170",51,"128,283,115","10,980","20,791",11,"23,219",52,"301,573,326",507,"12,988",21.9,"1,380",59,"40,591,971","22,002","29,414",2.6,"31,599",49,"1,648,573,536","37,763","52,172",5.63,2.03,0.36,0.14,0.518,9.8,24.6,36.4,31.5,29.4,20.8,18.3,"2,891",142.5,"4,137","49,284","7,811",20,507,158,605,"1,807","1,968",500,-,294,213,"3,659","2,903",32.1,27.3,18.7,3.3,2.6,6.7,0.5,748
35740,Noosa (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,673",17,471,146,620,"1,711","1,817",474,178,249,231,"3,435","2,570",-,-,-,-,-,-,-,-
35760,North Burnett (R),2011,"4,844",37,"154,546,788","24,804","31,905",69.1,"2,265",52,"13,950,479","2,656","6,159",15.9,"3,495",50,"20,145,260",551,"5,764",13.2,126,58,"2,599,083","13,439","20,628",1.1,"5,811",45,"187,775,385","25,929","32,314",7.62,2.06,0.27,0.06,0.57,7.1,21.3,34.3,39.6,29.8,18.3,12.3,372,11.3,"2,934","30,457","1,394",-,-,-,116,592,283,159,-,59,30,-,-,-,-,-,-,-,-,-,548
35760,North Burnett (R),2012,"4,973",37,"170,941,398","25,889","34,374",69.4,"2,297",52,"14,079,779","2,320","6,130",15.4,"3,644",50,"21,868,302",511,"6,001",13.3,139,58,"3,121,509","12,464","22,457",1.3,"5,856",45,"204,934,599","27,979","34,996",7.22,2.05,0.28,0.09,0.559,6.5,20.8,33.9,39.5,29.7,17.6,13.2,261,11.4,"5,251","43,635","1,466",5,85,34,121,593,295,158,-,35,36,850,674,-,-,-,-,-,-,-,-
35760,North Burnett (R),2013,"5,092",37,"180,866,541","25,199","35,520",68.5,"2,277",53,"-3,050,613",-533,"-1,340",13,"3,628",50,"20,610,428",443,"5,681",15.3,129,57,"2,710,427","13,952","21,011",1.3,"5,645",45,"191,032,827","26,731","33,841",9.24,2.16,0.23,0.01,0.631,6.9,22,35.9,42.2,27.5,17.5,12.8,338,21.0,"1,700","62,138","1,495",5,77,35,131,570,327,142,-,-,67,860,696,-,-,-,-,-,-,-,-
35760,North Burnett (R),2014,"4,911",38,"182,098,314","27,219","37,080",68.3,"2,255",53,"2,628,478",515,"1,166",14.9,"3,567",51,"21,549,126",404,"6,041",14.9,113,58,"2,437,649","14,632","21,572",1.1,"5,504",46,"197,857,606","28,816","35,948",8.73,2.05,0.23,0.03,0.591,6.7,21.6,34.9,40.4,29,18.1,12.6,355,16.9,"4,386","47,730","1,517",5,69,33,145,571,379,131,-,-,60,820,668,-,-,-,-,-,-,-,-
35760,North Burnett (R),2015,"5,109",37,"190,299,347","27,019","37,248",66.7,"2,271",54,"15,582,980","2,379","6,862",17.6,"3,734",50,"19,533,441",310,"5,231",13.4,122,57,"3,368,641","14,348","27,612",1.1,"5,612",46,"213,098,799","29,964","37,972",7.48,2.04,0.27,0.06,0.567,6.9,21.2,34.4,39.8,29.1,17.9,13.2,359,9.3,"3,877","25,827","1,571",4,61,32,160,571,393,142,-,-,66,821,660,-,-,-,-,-,-,-,-
35760,North Burnett (R),2016,"4,949",37,"186,782,299","29,535","37,741",66.1,"2,198",54,"35,613,288","5,843","16,203",19.9,"3,664",51,"19,060,347",262,"5,202",12.2,128,57,"2,388,973","9,999","18,664",1.3,"5,447",47,"225,263,552","32,949","41,356",6.45,1.94,0.3,0.09,0.529,7.6,21.4,33.8,35.9,31.6,19.3,13.2,352,7.4,"2,150","21,143","1,605",4,62,28,156,551,396,149,-,21,53,794,614,35.2,25.1,14,2.1,1.2,5.7,1.3,605
35760,North Burnett (R),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,558",4,52,29,157,498,423,131,52,21,58,758,538,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2011,898,36,"30,545,422","28,223","34,015",95.9,35,42,"831,017","17,019","23,743",2,216,40,"172,191",14,797,1,-,-,-,-,-,-,806,37,"31,896,872","33,009","39,574",4.33,1.75,0.4,0.22,0.426,7.4,18.5,28.9,28.5,33,24.6,13.9,-,-,-,-,69,-,-,-,-,47,111,120,-,-,36,-,-,-,-,-,-,-,-,-,511
35780,Northern Peninsula Area (R),2012,902,36,"31,005,524","29,884","34,374",95.7,32,42,"1,033,364","17,191","32,293",2.1,236,39,"-12,921",8,-55,0.8,-,-,-,-,-,-,789,38,"31,037,384","35,891","39,338",3.82,1.58,0.41,0.2,0.407,4.6,16.4,27.5,29.6,35.1,22.8,12.5,-,-,-,-,66,-,-,-,-,41,121,115,-,-,31,343,280,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2013,888,35,"31,690,442","29,029","35,687",94.3,33,42,"996,530","22,072","30,198",2.8,-,-,-,-,-,-,-,-,-,-,-,-,775,37,"31,441,780","34,788","40,570",4.16,1.75,0.42,0.23,0.41,5.4,16.7,27.5,30.1,34.9,23.3,11.8,-,-,-,-,66,-,-,-,-,42,165,116,-,-,46,366,316,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2014,916,35,"32,908,572","29,102","35,926",94.4,27,42,"719,507","27,937","26,648",2.6,240,42,"102,640",10,428,1,26,46,"700,675","9,534","26,949",2.1,778,38,"33,117,996","35,610","42,568",4.5,1.77,0.39,0.23,0.419,5.3,17.2,28,29.8,34.4,22.7,13.1,-,-,-,-,75,-,-,-,-,50,197,121,-,-,69,368,330,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2015,930,36,"35,093,766","31,487","37,735",93.8,31,45,"735,801","14,671","23,736",2.6,270,42,"509,412",8,"1,887",1.9,27,44,"493,578","9,956","18,281",1.7,775,38,"34,895,334","39,662","45,026",3.88,1.71,0.44,0.21,0.414,5,16.2,27.2,26.9,34.2,24,14.9,-,-,-,-,73,-,-,-,-,46,231,132,-,-,51,372,328,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2016,849,37,"34,209,423","34,259","40,294",94,32,44,"539,190","12,774","16,850",2.4,245,41,"367,232",7,"1,499",1.4,29,50,"391,383","8,713","13,496",2.2,760,38,"33,577,058","38,831","44,180",4.57,1.8,0.39,0.22,0.415,3.8,15.1,26.3,29.7,31.5,24.2,14.6,-,-,-,-,77,-,-,-,16,36,170,134,-,-,28,378,341,36.8,28.7,13.1,2.1,0.7,12.6,0.2,552
35780,Northern Peninsula Area (R),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,18,40,218,146,53,-,23,393,339,-,-,-,-,-,-,-,-
35790,Palm Island (S),2011,537,39,"16,870,339","27,192","31,416",96.9,-,-,-,-,-,-,83,40,"47,138",21,568,1.4,-,-,-,-,-,-,488,40,"16,672,044","29,589","34,164",6.55,1.83,0.28,0.13,0.458,-,17.9,29.3,37.3,28.7,23.2,10.8,-,-,-,-,211,-,-,-,29,107,311,112,-,-,124,-,-,-,-,-,-,-,-,-,452
35790,Palm Island (S),2012,576,40,"19,118,307","27,400","33,192",97.2,-,-,-,-,-,-,135,43,"-20,121",5,-149,1.4,-,-,-,-,-,-,510,40,"18,800,280","32,230","36,863",5.03,1.82,0.36,0.19,0.426,5,16,27.1,33.7,31.2,24.7,10.5,-,-,-,-,42,-,-,-,31,118,301,117,-,-,96,313,287,-,-,-,-,-,-,-,-
