Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Hornsby (A)",432,12903,5928,6547,6887,7117,7295,7297,8265,9217,7194,6681,5319,10186,6923,6612,27868,142666,
"Hunters Hill (A)",67,1326,439,503,577,559,593,532,589,735,592,611,476,931,1702,1116,2653,13999,
"Inner West (A)",599,11151,4459,7623,9359,9896,8752,9179,11341,13315,10668,9934,7655,14382,11560,14252,27911,182037,
"Inverell (A)",91,794,511,1208,1657,1502,1177,1251,1185,906,441,327,261,234,137,1476,3331,16485,
"Junee (A)",28,267,122,312,479,434,375,415,391,319,220,157,87,133,64,1363,1123,6295,
"Kempsey (A)",105,1315,942,2181,3388,3047,2224,2058,1652,1421,700,457,358,350,193,3516,4969,28886,
"Kiama (A)",51,1223,813,1161,1501,1551,1591,1319,1383,1450,1051,952,701,1066,545,1498,3614,21466,
"Ku-ring-gai (A)",365,11806,5177,4672,4200,4380,4934,4697,5718,6525,5183,5073,4103,8839,12939,5575,23864,118053,
"Kyogle (A)",57,467,322,746,1083,1022,694,611,506,435,206,165,91,118,75,873,1463,8939,
"Lachlan (A)",62,281,131,386,551,483,455,377,402,349,192,155,95,115,83,722,1351,6195,
"Lake Macquarie (C)",571,11650,6942,11668,17215,16805,13950,12961,13271,13550,8509,7289,5180,7096,3374,11228,36108,197373,
"Lane Cove (A)",107,2704,1084,1103,1178,1329,1349,1446,1916,2455,2083,1940,1633,3309,3744,1995,6674,36050,
"Leeton (A)",39,740,362,621,877,763,701,835,874,741,425,297,224,223,87,1067,2299,11167,
"Lismore (C)",163,2063,1554,3131,3736,4131,3434,3304,3256,2622,1439,1093,724,818,368,3596,7704,43134,
"Lithgow (C)",85,1183,638,1425,2025,2034,1380,1232,1225,1135,716,524,399,655,322,2526,3594,21090,
"Liverpool (C)",976,19210,6703,12869,14164,11860,10560,12006,13698,13813,9010,6864,4573,5261,1977,14477,46302,204330,
"Liverpool Plains (A)",55,403,203,501,761,686,541,515,520,431,242,201,131,162,111,784,1442,7689,
"Lockhart (A)",9,141,81,194,287,245,223,198,229,194,106,93,53,78,36,317,644,3121,
"Maitland (C)",230,4590,2693,4526,5892,5445,4848,4893,5313,4996,3351,2845,2089,3141,1268,4278,16903,77307,
