Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Port Phillip (C)",321,5313,2127,3720,4279,4831,4319,4863,6602,8096,6667,6347,4580,8510,7860,10647,11787,100863,
"Pyrenees (S)",50,393,261,536,796,696,494,466,436,388,187,164,76,83,47,1028,1133,7240,
"Queenscliffe (B)",16,143,109,161,210,224,239,185,197,190,148,127,90,124,90,263,333,2854,
"South Gippsland (S)",151,1558,1048,1962,2661,2586,2217,1927,1885,1733,1051,793,512,598,341,2565,5118,28700,
"Southern Grampians (S)",87,746,564,1022,1454,1459,1297,1215,1220,1052,623,476,291,323,171,1202,2746,15941,
"Stonnington (C)",373,8052,2975,4120,4443,4438,4469,4695,6244,7940,6437,6148,4350,7998,9641,8637,12864,103831,
"Strathbogie (S)",64,511,356,698,972,982,837,762,751,610,367,274,190,188,117,1081,1507,10272,
"Surf Coast (S)",82,1717,1093,1518,1734,1726,1917,1853,1901,2026,1513,1276,869,1276,872,1975,6050,29402,
"Swan Hill (RC)",121,1058,688,1203,1611,1570,1473,1607,1469,1303,665,512,279,311,203,2572,3942,20587,
"Towong (S)",41,310,202,441,607,549,465,386,405,365,257,188,118,125,68,502,961,5986,
"Wangaratta (RC)",125,1253,939,1701,2423,2538,2145,2194,2154,1864,1144,853,513,554,304,2505,5106,28310,
"Warrnambool (C)",94,1530,1325,2100,2572,2807,2516,2567,2669,2352,1367,1047,699,760,449,2683,6108,33655,
"Wellington (S)",208,2523,1508,2678,3728,3588,2961,2757,2738,2598,1630,1205,862,1137,823,4419,7632,42986,
"West Wimmera (S)",39,195,151,218,365,383,323,290,263,272,133,113,68,73,54,285,672,3905,
"Whitehorse (C)",705,17635,7217,9464,10368,10119,9670,9034,9841,10502,7440,6604,4932,7974,4936,8390,27248,162080,
"Whittlesea (C)",989,17451,7188,12923,14403,11981,11418,13015,14556,14151,9214,6579,3993,4511,1468,11470,42181,197490,
"Wodonga (C)",110,1995,1210,2232,2773,2701,2714,2919,3228,2947,2037,1370,902,923,337,2841,8106,39347,
"Wyndham (C)",1106,20663,7385,11163,10733,10137,10933,12876,15804,16043,10375,8076,5306,7071,2628,13012,53812,217118,
"Yarra (C)",283,4101,2091,4414,4295,4346,4024,4153,5566,7138,6251,5635,4009,7004,5454,8210,9671,86652,
"Yarra Ranges (S)",601,9806,5820,8231,9951,10394,9911,10046,11276,11250,7474,5977,3883,4986,2157,9317,28456,149542,
"Yarriambiack (S)",71,318,223,436,746,753,513,472,430,403,228,149,82,89,45,660,1056,6675,
"Unincorporated Vic",4,23,16,22,51,52,58,51,74,61,30,23,24,21,20,215,133,876,
"No usual address (Vic.)",54,704,308,1022,687,659,422,383,361,333,185,123,88,127,76,1284,747,7572,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,4,26,
"Total",27121,467928,218512,349961,406877,391306,360833,366104,404214,407043,278095,226824,153096,220800,143874,423108,1080917,5926624,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
