Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Mundaring (S)",135,2916,1425,2014,2363,2182,2105,1919,2068,2417,1808,1672,1215,2012,1110,4168,6633,38159,
"Murchison (S)",0,11,0,19,4,4,6,3,8,6,3,7,0,6,0,45,24,153,
"Murray (S)",73,1322,528,1144,1432,1250,1078,863,795,816,524,546,458,910,381,1435,3141,16696,
"Nannup (S)",3,80,41,113,122,132,104,83,86,81,49,33,17,32,24,135,206,1329,
"Narembeen (S)",9,37,25,40,63,58,41,39,66,70,41,32,20,29,20,74,141,810,
"Narrogin (S)",26,350,112,248,393,354,314,317,306,316,229,191,118,165,85,562,1072,5158,
"Nedlands (C)",82,1892,977,896,755,988,835,770,787,1049,845,881,667,1467,2965,1086,4187,21114,
"Ngaanyatjarraku (S)",0,47,55,279,128,85,24,15,16,33,28,11,18,31,3,437,403,1606,
"Northam (S)",44,670,325,684,881,815,623,573,592,633,430,389,293,392,160,1520,2095,11115,
"Northampton (S)",20,188,108,237,353,266,201,239,157,204,116,79,78,113,65,394,509,3322,
"Nungarin (S)",5,16,7,15,27,18,16,11,13,16,11,12,8,7,8,21,50,251,
"Peppermint Grove (S)",6,206,85,48,42,42,39,59,53,72,58,55,49,95,295,127,310,1637,
"Perenjori (S)",10,35,11,13,21,26,28,14,31,39,39,31,33,67,45,71,83,616,
