"Australian Exporters: by Export Value Range, Industry, State, and Destination Country",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Goods and Services Credit ($m),404125,"per 5368.0 Table 1 'Credits, Total goods and services' for FY 2018",,,,,,
,DATA SOURCE,5368.0.55.006 Tables 6 & 7,,5368.0.55.006 Table 1.1,,,5368.0.55.006 Table 5.1,,,,,,,,,,"5368.0.55.006 Table 5.2, and 5368.0 Table 1",,,,,,,,
,,,,Number of Goods Exporters,,,Industry of exporter,,,,,,,,,,Value of Goods and Services Exports in FY 2018 by Industry of exporter (ratio per cell multiplied by Total Goods and Services),,,,,,,,
Destination Country,Value Range,State,Size,Total,,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL
,,,,no.,%,,no.,no.,no.,no.,no.,no.,no.,no.,no.,,$,$,$,$,$,$,$,$,$
ARGENTINA,"$100,000 and less than $250,000",SA,Medium,1,1%,,0,0,1,0,1,0,0,0,2,,0,0,43614,0,94043,0,0,0,137657
ARGENTINA,"$55,000 and less than $100,000",SA,Medium,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,73458,0,158394,0,0,33684,265536
ARGENTINA,"$10,000 and less than $55,000",SA,Small,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,4782,0,14615,0,0,3980,23378
ARGENTINA,"Less than $10,000",SA,Small,4,2%,,0,0,1,0,1,0,0,1,3,,0,0,8269,0,25271,0,0,6882,40423
ARGENTINA,$100m or more,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$50m and less than $100m,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$10m and less than $50m,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$1m and less than $10m,WA,Large,2,1%,,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,370640,370640
ARGENTINA,"$875,000 and less than $1m",WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$750,000 and less than $875,000",WA,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$500,000 and less than $750,000",WA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$250,000 and less than $500,000",WA,Medium,1,1%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$100,000 and less than $250,000",WA,Medium,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,141776,0,114613,0,0,19782,276170
ARGENTINA,"$55,000 and less than $100,000",WA,Medium,4,2%,,0,0,1,0,1,1,0,1,4,,0,0,238788,0,193039,8084,0,33318,473229
ARGENTINA,"$10,000 and less than $55,000",WA,Small,4,2%,,0,0,1,0,1,1,0,1,4,,0,0,15546,0,17812,1131,0,3937,38425
ARGENTINA,"Less than $10,000",WA,Small,7,3%,,0,0,1,1,2,1,0,2,7,,0,0,26881,1960,30798,1955,0,6807,68401
ARGENTINA,$100m or more,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$50m and less than $100m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$10m and less than $50m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$1m and less than $10m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$875,000 and less than $1m",TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$750,000 and less than $875,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$500,000 and less than $750,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$250,000 and less than $500,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$100,000 and less than $250,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$55,000 and less than $100,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$10,000 and less than $55,000",TAS,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"Less than $10,000",TAS,Small,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$100m or more,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$50m and less than $100m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$10m and less than $50m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$1m and less than $10m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$875,000 and less than $1m",NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$750,000 and less than $875,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$500,000 and less than $750,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$250,000 and less than $500,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$100,000 and less than $250,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$55,000 and less than $100,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$10,000 and less than $55,000",NT,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"Less than $10,000",NT,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$100m or more,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$50m and less than $100m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$10m and less than $50m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,$1m and less than $10m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$875,000 and less than $1m",ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
